evalNo,evalNm,maxDigDepth,proStage,no
E00018000001,고색동 1181-3 근린생활시설 및 오피스텔 신축공사,16.54,진행중,1
E00028000001,천안 청수지구 548-1외 1필지 복합업무시설 신축공사 소규모지하안전영향평가 용역,16.00,승인완료,2
E00018000002,수원시 권선동 1011-15번지 오피스텔 신축공사,16.60,진행중,3
E00018000003,인계동1036-13 도시형생활주택 신축공사,17.60,진행중,4
E00003000001,성남 판교대장 도시개발구역 A11BL 공동주택 신축공사 소규모 지하안전영향평가,19.86,진행중,5
E00003000002,성남 판교대장 도시개발구역 A12BL 공동주택 신축공사 소규모 지하안전영향평가,15.69,진행중,6
E00009000001,성남 판교대장 도시개발구역 A1BL 공동주택 신축공사 소규모지하안전영향평가,14.20,진행중,7
E00009000002,성남 판교대장 도시개발구역 A2BL 공동주택 신축공사 소규모지하안전영향평가,15.30,진행중,8
E00031000001,경산시 중방동 897 주차전용건축물 신축 소규모 지하안전영향평가,19.50,진행중,9
E00041000001,센터포인트 명동 복합시설 개발사업 소규모지하안전영향평가,19.67,진행중,10
E00002000001,수성구 상동 근린생활시설 및 업무시설 신축공사,19.95,진행중,11
E00043000001,위례택지개발 사업지구 C2-7블럭 복합시설 개발사업 소규모지하안전영향평가,17.61,진행중,12
E00010000002,여수시 덕충동 2037-2 오피스텔 신축공사,19.75,진행중,13
E00046000001,속초시 영랑동 생활숙박시설 신축공사 소규모 지하안전영향평가 용역,17.26,진행중,14
E00020000001,용호동 720-43 오피스텔&amp;다세대 신축공사 소규모 지하안전영향평가,14.19,진행중,15
E00057000001,구례읍 백련리 공동주택 신축공사,23.67,진행중,16
E00060000001,속초시 교동 986-3번지 일대 생활숙박시설 신축공사 소규모 지하안전영향평가,19.86,진행중,17
E00056000001,신안동 국제미소래 주상복합 신축공사,11.90,진행중,18
E00015000001,제주시 연동 276-1번지 외 3개 필지 지하안전영향평가,19.40,진행중,19
E00060000002,대구광역시 달서구 감삼동 와이즈타워 주상복합 신축공사,18.35,진행중,20
E00009000003,성남 판교 대장지구 A3BL 공동주택 신축공사 소규모 지하안전영향평가,11.26,진행중,21
E00043000002,대치동 1008 Project 신축공사	,17.18,진행중,22
E00031000002,I-WISH TOWER 감삼 주상복합 신축 소규모 지하안전영향평가,15.44,진행중,23
E00009000004,시흥 장현지구 6BL 복합상업시설 신축공사 소규모 지하안전영향평가,16.51,진행중,24
E00069000001,진해동부맑은물재생센터 증설사업(2단계) 소규모 지하안전영향평가용역,18.75,진행중,25
E00009000005,"성남 판교대장 도시개발구역 A7, 8BL 공동주택 신축공사 소규모지하안전영향평가",18.10,진행중,26
E00009000006,부천옥길 자족3-2~3 지식산업센터 신축공사,14.06,진행중,27
E00112000001,아산 탕정지구 5-1BL 업무시설 신축공사 소규모 지하안전영향평가,16.43,진행중,28
E00027000001,부산 수영구 민락동 D7-10~12 복합시설 개발계획,18.21,진행중,29
E00105000001,나라키움 서대문세무서 개발사업 소규모 지하안전영향평가 용역,14.00,진행중,30
E00115000001,성남 판교대장 도시개발사업지구 A6BL 공동주택 신축공사 소규모지하안전영향평가,15.06,진행중,31
E00015000002,제주시 노형동 숙박시설 신축공사 지하안전영향평가,10.70,진행중,32
E00047000001,강릉 사천진리 생활숙박시설 신축공사 소규모 지하안전영향평가,13.75,진행중,33
E00035000001,아산탕정지구 3-G1블럭 도시형생활주택 신축공사 소규모지하안전영향평가 용역,14.36,진행중,34
E00047000002,경기도 성남 고등 C-1BL 주상복합 신축공사,11.90,진행중,35
E00047000003,경기도 성남 고등 C-2BL 주상복합 신축공사,11.70,진행중,36
E00047000004,경기도 성남 고등 C-3BL 주상복합 신축공사,11.30,진행중,37
E00010000003,대구 신암동 에일린의 뜰 신축공사 소규모 지하안전 영향평가 용역,15.05,진행중,38
E00105000002,이천 하이닉스 16동 반도체공장 외 2건,15.00,진행중,39
E00127000001,춘천농협 NH타운 신축공사 소규모 지하안전영향평가,15.91,진행중,40
E00126000001,울산광역시 남구B-14구역 주택재개발정비사업 소규모 지하안전영향평가,17.70,진행중,41
E00010000004,역삼동 790-9 주상복합시설 신축공사,19.05,진행중,42
E00114000001,서울시 강남구 대치동 891-38번지 오피스텔 신축공사,14.61,진행중,43
E00114000002,서울시 강남구 대치동 891-63번지 오피스텔 신축공사,14.61,진행중,44
E00017000001,수락산 외 1역 승강편의시설 설치공사 소규모 지하안전영향평가 용역(36공구),14.34,진행중,45
E00042000001,오산시 세교택지개발지구 자족 3BL 지식산업센터 신축공사 소규모지하안전영향평가 용역,14.20,진행중,46
E00144000001,심곡동 아파트 및 근린생활시설 신축공사 소규모 지하안전영향평가,13.00,진행중,47
E00116000001,용인 수지 풍덕천동 근린생활시설 신축공사,18.21,진행중,48
E00090000001,안양동 199번지 지식산업센터 신축공사,18.46,진행중,49
E00024000001,여수시 학동 장미아파트 지역 주택조합 아파트 신축공사,17.86,진행중,50
E00036000001,금천구 가산동 345-24 지식산업센터 신축공사,19.80,진행중,51
E00036000002,수성 범어W 신축공사,15.40,진행중,52
E00150000001,영도구 동삼하리지구 복합개발사업 소규모 지하안전영향평가,12.86,진행중,53
E00036000003,안양 아이에스 비즈타워 신축공사,15.42,진행중,54
E00036000004,논현동 236-7 업무시설 신축공사,19.90,진행중,55
E00022000001,부천 원미동 지식산업센터 신축공사 소규모지하안전영향평가,19.78,진행중,56
E00025000001,대구 중구 동문동 오피스텔 신축공사 소규모 지하안전영향평가,19.95,진행중,57
E00076000001,"시흥은계 업무지구 3-1,2 지구 건축물신축공사 소규모 지하안전영향평가 용역",19.35,진행중,58
E00044000001,수원시 영통구 이의동 1348번지 외 3필지 광교지구 복합시설 신축공사,19.60,진행중,59
E00013000001,울산 중앙병원 증축설계,16.01,진행중,60
E00036000005,인천검단신도시 AB16BL 공동주택 신축공사,12.89,진행중,61
E00013000002,서밋 더 크로스 흥덕 복합상업시설 신축설계,19.71,진행중,62
E00144000002,단국대학교병원 암센터 증축공사 소규모 지하안전영향평가,15.90,진행중,63
E00013000003,의왕시 내손동 도시형 생활주택 신축공사,15.16,진행중,64
E00010000005,강서구 화곡동 1111번지 외 1필지 주상복합건물 신축공사,19.00,진행중,65
E00035000002,구래동6878-2번지 업무시설 및 근린생활시설 신축공사 소규모지하안전영향평가 용역,19.84,진행중,66
E00149000001,청수지구 일반상업시설 용지 CA타워 신축공사,19.76,진행중,67
E00146000001,양산시 중부동 689-7일원 업무시설 신축공사에 따른 소규모 지하안전영향형가,19.75,진행중,68
E00102000001,파주시 야당동 1066 운정지구 퍼스트삼융4차 신축공사,13.71,진행중,69
E00105000003,시립 마포실버케어센터 건립 소규모 지하안전영향평가 용역,12.45,진행중,70
E00097000001,죽곡1오수중계펌프장이설사업 소규모지하안전영향평가,13.50,진행중,71
E00001000001,다산 진건지구 으뜸 웰타워 신축공사,18.86,진행중,72
E00001000002,다산진건지구 업무 3-1BL 복합시설 신축공사,13.92,진행중,73
E00042000002,하남미사 지식산업센터 신축공사 소규모 지하안전영향평가용역,19.74,진행중,74
E00042000003,동탄2 42-1근린상업시설 신축공사 소규모지하안전영향평가용역,16.46,진행중,75
E00042000004,동탄2 43-1근린상업시설 신축공사 소규모지하안전영향평가용역,17.06,진행중,76
E00042000005,동탄2 43-4근린상업시설 신축공사 소규모지하안전영향평가용역,17.60,진행중,77
E00017000002,호계온천 주변지구 주택재개발 정비사업(소규모 지하안전영향평가),13.50,진행중,78
E00010000007,속초시 조양동 1111-1 생활숙박시설 신축공사 소규모 지하안전영향평가,19.53,진행중,79
E00102000002,군포 당동 주상복합 신축공사,16.53,진행중,80
E00038000004,부산 서면 드림아파트 신축공사 소규모 지하안전영향평가,19.00,진행중,81
E00093000001,송산그린시티 폴리프라자1 신축공사 소규모 지하안전영향평가용역,13.68,진행중,82
E00163000001,수암동 500-1번지 주상복합 신축공사,12.76,진행중,83
E00143000001,고양시 원흥동 634-4번지 신축공사 소규모지하안전영향평가,12.87,진행중,84
E00031000004,대구국가산단 A2-1블록 공동주택 건립에 따른 소규모지하안전영향평가용역,14.70,진행중,85
E00017000003,김포시 구래동 6871-57 근생 및 오피스텔 신축공사 소규모지하안전영향평가,18.36,진행중,86
E00024000002,안양 냉천지구 주거환경개선사업,14.50,진행중,87
E00023000002,궁내동 256-16 자동차 관련시설 신축공사 소규모지하안전영향평가,13.60,진행중,88
E00027000003,부산 수영구 민락동 D7-10~12 복합시설 개발계획,18.21,진행중,89
E00043000003,김포한강신도시 MS-10-2BL 신축공사,19.95,진행중,90
E00015000003,제주시 이도이동 1066-4번지 일원 지하안전영향평가 용역,19.40,진행중,91
E00004000001,블루오션 별내 지식산업센터 신축공사,17.26,진행중,92
E00101000001,먹골역 승강편의시설 설치공사 소규모 지하안전영향평가 용역(37공구),12.00,진행중,93
E00004000002,블루오션한강 지식산업센터 신축공사,19.06,진행중,94
E00023000003,성남시 수정구 신흥동 2506-1번지 오피스텔 신축공사에 따른 소규모지하안전영향평가,17.06,진행중,95
E00126000002,광명사거리역 승강편의시설 설치공사 소규모 지하안전영향평가 용역(34공구),11.00,진행중,96
E00112000002,아산 탕정지구 5-1-1BL 업무 및 근린생활시설 신축공사 소규모 지하안전영향평가,19.80,진행중,97
E00120000001,용인 처인구 역북동 746번지 중 소규모 지하안전영향평가,18.60,진행중,98
E00023000004,상대원동 145-3번지 지식산업센터 신축공사에 따른 소규모지하안전영향평가,18.56,진행중,99
E00112000003,월곡배수지 건설공사(2단계) 소규모 지하안전영향평가 용역,17.25,진행중,100
E00010000008,강서구 화곡동 1111번지 외 1필지 주상복합건물 신축공사,19.00,진행중,101
E00148000001,김포신곡6지구 준주거용지(S1-2BL) 지하안전영향평가 용역,12.26,진행중,102
E00076000002,속초 삼성홈프레스티지 4차 신축공사 소규모지하안전영향평가용역,17.91,진행중,103
E00014000002,노형동 904-1 생활형숙박시설 신축공사,15.20,진행중,104
E00045000001,이천 마장지구 근린생활시설 신축공사,16.71,진행중,105
E00004000003,블루오션 미사 지식산업센터 신축공사,18.70,진행중,106
E00006000002,부산국제아트센터 지하안전영향평가수립용역,12.20,진행중,107
E00163000003,소규모 지하안전영향평가 용역[동탄2 제 14중 이음터],13.74,진행중,108
E00106000001,중원구 여수동 190번지 근린생활시설 신축공사,16.86,진행중,109
E00119000001,부산광역시 부산진구 부암동 304-14번지 일원 주상복합 신축공사 지하안전영향평가,14.90,진행중,110
E00075000003,서울시 효제동 167외 1필지 오피스텔 신축공사 소규모 지하안전영향평가,15.00,진행중,111
E00066000001,성남중1구역 도시환경정비사업 소규모지하안전영향평가,19.44,진행중,112
E00102000003,KB국민은행 이태원 지점 개발사업,14.62,진행중,113
E00186000001,단대오거리역 승강편의시설 설치공사 소규모 지하안전영향평가 용역(35공구),11.24,진행중,114
E00031000005,달서구 죽전동 주거복합 신축공사에 따른 소규모지하안전영향평가,17.60,진행중,115
E00009000007,감삼동 파이오니아 주상복합 신축공사 중 소규모 지하안전영향평가,19.83,진행중,116
E00098000001,홍도동1구역 주택재건축정비사업 소규모 지하안전영향평가 용역,11.45,진행중,117
E00181000001,속초시 청학동 도시형생활주택 신축공사 소규모지하안전영향평가,16.60,진행중,118
E00100000001,장미구역 주택재건축 정비사업 지하안전영향평가(소규모),13.06,진행중,119
E00045000002,고촌읍 신곡리 532-124 번지 근린생활시설 및 업무시설 신축공사,19.60,진행중,120
E00080000001,포남동1117번지외4필지 주상복합 신축공사 소규모지하안전영향평가,16.58,진행중,121
E00117000001,롯데인재개발원 오산캠퍼스 리빌딩 소규모 지하안전영향평가,15.80,진행중,122
E00031000006,수성 알파시티 지식산업센터 신축공사 소규모지하안전영향평가,15.00,진행중,123
E00002000002,안중계통 송수관로 복선화매설공사 소규모 지하안전영향평가 용역,11.47,진행중,124
E00149000002,아산 배방읍 장재리 1717 복합시설 신축공사,19.40,진행중,125
E00169000001,성북동미술관 신축공사 소규모지하안전영향평가,19.76,진행중,126
E00193000001,덕진동 미르오피스텔 신축공사 지하안전영향평가,13.80,진행중,127
E00146000002,창원중앙역세권 업무1-4 000신축공사 소규모지하안전영향평가,17.31,진행중,128
E00184000001,덕천 2구역 주택재건축 정비사업 중 소규모 지하안전영향평가용역,11.70,승인완료,129
E00019000002,양산시 북부동 00주거복합 신축공사 소규모지하안전영향평가,19.85,진행중,130
E00022000003,과천지식정보타운 S6BL 공동주택 건설공사,15.11,진행중,131
E00083000001,울산광역시 무거동 856-5번지 외 6필지 근린생활시설 및 업무시설 신축공사,16730.00,진행중,132
E00198000001,평택 고덕택지지구 일상3-1-1 신축공사,19.05,진행중,133
E00198000002,진건 상업 4-1-1 신축공사,19.55,진행중,134
E00082000001,월계동 업무시설 및 근린생활시설 신축공사,18.00,진행중,135
E00198000003,"진건 상업 3-4-1,2 신축공사",19.31,진행중,136
E00198000004,진건 상업 3-8-2 신축공사 소규모 지하안전영향평가,19.96,진행중,137
E00010000009,속초시 조양동 1111-1 생활숙박시설 신축공사,19.33,진행중,138
E00158000001,진주시 칠암동 490-1 근린생활시설 신축공사 소규모 지하안전영향평가,16.50,진행중,139
E00165000002,서대구 산업단지 복합지식산업센터 소규모 지하안전영향평가,16.00,진행중,140
E00031000007,금포지구 우신미가뷰 1단지 공동주택 소규모지하안전영향평가 등 용역,19.00,진행중,141
E00199000001,대저1 자연재해위험개선지구 정비사업(사덕배수펌프장) 소규모 지하안전영향평가 수립용역,13.00,진행중,142
E00006000005,명지지구 상 17-1 근린생활시설 및 오피스텔(소규모),19.40,진행중,143
E00083000002,김천시 율곡동 복합시설 신축공사,14.15,진행중,144
E00071000001,김해 어방동 485-3번지외3필지 퍼스트클래스오피스텔신축공사,1735.00,작성중,145
E00199000002,해운대구 중동 1270-1번지일원 오피스텔 신축공사 소규모지하안전영향평가 용역,19.10,진행중,146
E00102000005,동덕여자대학교 청담동 동신빌딩 신축공사 중 지하안전영향평가,17.36,진행중,147
E00102000006,의정부동 00주상복합 신축공사 소규모지하안전영향평가 용역,14.56,진행중,148
E00102000007,청담동 115-6외 4필지 신축공사 중 소규모지하안전영향평가 용역,19.56,진행중,149
E00102000008,성본산업단지 공공폐수처리시설 설치공사 중 지하안전영향평가용역,17.24,진행중,150
E00102000009,김포시 고촌읍 00교회 신축공사 중 소규모지하안전영향평가 용역,15.60,진행중,151
E00025000002,역삼동 주상복합 신축공사 소규모 지하안전영향평가,19.50,진행중,152
E00047000005,여수시 웅천동 1876-1번지 일원 생활숙박시설 신축공사,16.80,진행중,153
E00200000001,"분당중앙교회 현황측량, 지반조사 및 소규모 지하안전영향평가용역",19.38,진행중,154
E00045000003,강릉 주문진 생활형 숙박시설,18.61,진행중,155
E00083000003,울산광역시 울주군 삼남면 신화리 코업레지던스호텔 신축공사,18.04,진행중,156
E00205000001,전주 덕진동 오피스텔 신축공사 소규모지하안전영향평가서,19.90,진행중,157
E00141000001,송파구 방이동 근생 및 업무시설(오피스텔) 신축공사,19.74,진행중,158
E00131000002,"인천 송도동 21-14,15,22,23번지 근린생활시설 신축공사",14.06,진행중,159
E00102000011,삼성동 20-5 근린생활시설 신축공사 소규모지하안전영향평가,15.71,진행중,160
E00205000002,농성동 417-22 외 7필지 000 주상복합 신축공사,10.16,진행중,161
E00149000003,천안시 서북구 불당동 1485번지 복합상업시설 신축공사,16.30,진행중,162
E00102000012,"방이동 업무시설(오피스텔), 근린생활시설 신축공사 소규모지하안전영향평가가",15.93,진행중,163
E00102000013,강남구 개포동 오피스텔 신축공사 소규모지하안전영향평가,19.00,진행중,164
E00102000014,"이태원동 181-20, 181-32번지 근린생활시설 신축공사 중 지하안전영향평가 용역",13.05,진행중,165
E00094000001,백석대학교 서울캠퍼스 교육연구시설(가칭) 신축공사 지하안전영향평가,15.00,진행중,166
E00212000001,#2 SPM Construction Project 소규모 지하안전영향평가,15.76,진행중,167
E00215000001,수성구 욱수동 공동주택 신축공사,13.30,진행중,168
E00013000004,덕신 디비홀딩스 신축공사,13.64,진행중,169
E00193000002,광주전남 빛그린 산업단지 공공폐수처리시설 건설공사 소규모 지하안전영향평가용역,13.30,진행중,170
E00014000003,오설록 티 뮤지엄 증축 개발사업,12.44,진행중,171
E00105000005,군포첨단산업단지내 지식산업센터 신축공사(지하안전영향평가),19.15,진행중,172
E00019000003,연제구 연산동 00빌딩 신축공사 소규모지하안전영향평가,13.95,진행중,173
E00003000003,디센터1976지식산업센터 조성사업 소규모지하안전영향평가,14.00,진행중,174
E00121000001,부천문화예술회관 건립공사 소규모지하안전영향평가,14.00,진행중,175
E00102000015,수원시 고등동 오피스텔 신축공사 중 소규모지하안전영향평가 용역,18.04,진행중,176
E00159000001,충장배전스테이션 신축공사 소규모지하안전영향평가(보완),18.60,진행중,177
E00025000003,미단시티 골든드래곤타워 신축공사 소규모 지하안전영향평가,19.96,진행중,178
E00083000004,울산광역시 남구 야음동(깨밭골) 지역주택조합아파트 신축공사,13.85,진행중,179
E00031000008,공공지원 민간임대주택 B 단지 신축공사 설계용역 (소규모 지하안전영향평가),18.14,진행중,180
E00031000009,공공지원 민간임대주택 A 단지 신축공사 설계용역 (소규모 지하안전영향평가),13.48,진행중,181
E00137000001,광주광역시 광산구 신가동 공동주택 신축공사,14.80,진행중,182
E00006000006,"거제시 고현동 1100-3번지(변경,취소)",13.90,작성중,183
E00006000007,남산1구역 주택재건축 정비사업 소규모 지하안전영향평가,12.25,진행중,184
E00097000002,다사읍 매곡리 주거복합 신축공사 소규모 지하안전영향평가,12.31,진행중,185
E00142000001,가야동 주상복합 신축공사 소규모지하안전영향평가,18.60,진행중,186
E00035000004,인천 검단신도시 AB-6BL 공동주택 신축공사 소규모지하안전영향평가,10.50,진행중,187
