evalNo,evalNm,constCost,maxDigDepth,digCapacity,startYmd,endYmd,evalCost,proStage,digArea,no
E00018000001,고색동 1181-3 근린생활시설 및 오피스텔 신축공사,2000.00,16.54,0.00,20180424,20180427,44000.00,진행중,805,1
E00028000001,천안 청수지구 548-1외 1필지 복합업무시설 신축공사 소규모지하안전영향평가 용역,40000.00,16.00,0.00,20180409,20180528,56100.00,승인완료,2559,1
E00018000002,수원시 권선동 1011-15번지 오피스텔 신축공사,2000.00,16.60,0.00,20180514,20180523,44000.00,진행중,542,1
E00018000003,인계동1036-13 도시형생활주택 신축공사,2000.00,17.60,0.00,20180427,20180528,44000.00,진행중,1116,1
E00003000001,성남 판교대장 도시개발구역 A11BL 공동주택 신축공사 소규모 지하안전영향평가,342720.00,19.86,0.00,20180302,20180523,66000.00,진행중,18000,1
E00003000002,성남 판교대장 도시개발구역 A12BL 공동주택 신축공사 소규모 지하안전영향평가,418390.00,15.69,0.00,20180302,20180523,66000.00,진행중,27232,1
E00009000001,성남 판교대장 도시개발구역 A1BL 공동주택 신축공사 소규모지하안전영향평가,403460.00,14.20,0.00,20180316,20180525,70730.00,진행중,31334,1
E00009000002,성남 판교대장 도시개발구역 A2BL 공동주택 신축공사 소규모지하안전영향평가,339900.00,15.30,0.00,20180316,20180525,69630.00,진행중,26374,1
E00031000001,경산시 중방동 897 주차전용건축물 신축 소규모 지하안전영향평가,30248.00,19.50,0.00,20180308,20180514,73700.00,진행중,3668,1
E00041000001,센터포인트 명동 복합시설 개발사업 소규모지하안전영향평가,48000.00,19.67,0.00,20171106,20180510,55000.00,진행중,2589,1
E00002000001,수성구 상동 근린생활시설 및 업무시설 신축공사,73561.00,19.95,0.00,20180510,20180518,57200.00,진행중,4232,1
E00043000001,위례택지개발 사업지구 C2-7블럭 복합시설 개발사업 소규모지하안전영향평가,45000.00,17.61,0.00,20180605,20180628,57200.00,진행중,1706,1
E00010000002,여수시 덕충동 2037-2 오피스텔 신축공사,50182.00,19.75,0.00,20180416,20180531,49500.00,진행중,2439,1
E00046000001,속초시 영랑동 생활숙박시설 신축공사 소규모 지하안전영향평가 용역,45000.00,17.26,0.00,20180519,20180608,60500.00,진행중,1671,1
E00020000001,용호동 720-43 오피스텔&amp;다세대 신축공사 소규모 지하안전영향평가,8000.00,14.19,0.00,20180416,20180607,44000.00,진행중,1711,1
E00057000001,구례읍 백련리 공동주택 신축공사,60700.00,23.67,0.00,20180515,20180620,92000.00,진행중,19707,1
E00060000001,속초시 교동 986-3번지 일대 생활숙박시설 신축공사 소규모 지하안전영향평가,60000.00,19.86,0.00,20180531,20180619,61600.00,진행중,1990,1
E00056000001,신안동 국제미소래 주상복합 신축공사,23500.00,11.90,0.00,20180413,20180914,96800.00,진행중,2743,1
E00015000001,제주시 연동 276-1번지 외 3개 필지 지하안전영향평가,39532.00,19.40,0.00,20180410,20180630,69000.00,진행중,1402,1
E00060000002,대구광역시 달서구 감삼동 와이즈타워 주상복합 신축공사,306000.00,18.35,0.00,20180531,20180629,66000.00,진행중,8847,1
E00009000003,성남 판교 대장지구 A3BL 공동주택 신축공사 소규모 지하안전영향평가,155700.00,11.26,0.00,20180504,20180705,44000.00,진행중,11360,1
E00043000002,대치동 1008 Project 신축공사	,0.00,17.18,0.00,20180409,20180912,64900.00,진행중,8840,1
E00031000002,I-WISH TOWER 감삼 주상복합 신축 소규모 지하안전영향평가,176730.00,15.44,0.00,20180411,20181008,55000.00,진행중,6967,1
E00009000004,시흥 장현지구 6BL 복합상업시설 신축공사 소규모 지하안전영향평가,195000.00,16.51,0.00,20180504,20180717,44000.00,진행중,14951,1
E00069000001,진해동부맑은물재생센터 증설사업(2단계) 소규모 지하안전영향평가용역,30229.00,18.75,0.00,20180604,20180802,32169.00,진행중,4028,1
E00009000005,"성남 판교대장 도시개발구역 A7, 8BL 공동주택 신축공사 소규모지하안전영향평가",406056.00,18.10,0.00,20180525,20180725,63000.00,진행중,26378,1
E00009000006,부천옥길 자족3-2~3 지식산업센터 신축공사,60700.00,14.06,0.00,20180611,20180727,71500.00,진행중,5254,1
E00112000001,아산 탕정지구 5-1BL 업무시설 신축공사 소규모 지하안전영향평가,26000.00,16.43,0.00,20180515,20180726,55000.00,진행중,14900,1
E00027000001,부산 수영구 민락동 D7-10~12 복합시설 개발계획,158000.00,18.21,0.00,20180425,20180727,146300.00,진행중,6054,1
E00105000001,나라키움 서대문세무서 개발사업 소규모 지하안전영향평가 용역,39300.00,14.00,0.00,20180612,20180820,43815.00,진행중,1745,1
E00115000001,성남 판교대장 도시개발사업지구 A6BL 공동주택 신축공사 소규모지하안전영향평가,572400.00,15.06,0.00,20180523,20180815,49500.00,진행중,30,1
E00015000002,제주시 노형동 숙박시설 신축공사 지하안전영향평가,17000.00,10.70,0.00,20180503,20180731,33000.00,진행중,686,1
E00047000001,강릉 사천진리 생활숙박시설 신축공사 소규모 지하안전영향평가,65000.00,13.75,0.00,20180502,20180702,61600.00,진행중,2703,1
E00035000001,아산탕정지구 3-G1블럭 도시형생활주택 신축공사 소규모지하안전영향평가 용역,38000.00,14.36,0.00,20180627,20180810,35200.00,진행중,3030,1
E00047000002,경기도 성남 고등 C-1BL 주상복합 신축공사,133395.00,11.90,0.00,20180423,20180710,49500.00,진행중,9404,1
E00047000003,경기도 성남 고등 C-2BL 주상복합 신축공사,132817.00,11.70,0.00,20180423,20180710,49500.00,진행중,9106,1
E00047000004,경기도 성남 고등 C-3BL 주상복합 신축공사,97123.00,11.30,0.00,20180423,20180710,49500.00,진행중,5707,1
E00010000003,대구 신암동 에일린의 뜰 신축공사 소규모 지하안전 영향평가 용역,240000.00,15.05,0.00,20180702,20180813,74800.00,진행중,28235,1
E00105000002,이천 하이닉스 16동 반도체공장 외 2건,3500000.00,15.00,0.00,20180625,20181010,71500.00,진행중,16100,1
E00127000001,춘천농협 NH타운 신축공사 소규모 지하안전영향평가,85600.00,15.91,0.00,20180619,20181031,33000.00,진행중,16820,1
E00126000001,울산광역시 남구B-14구역 주택재개발정비사업 소규모 지하안전영향평가,400000.00,17.70,0.00,20180618,20180817,66000.00,진행중,90750,1
E00010000004,역삼동 790-9 주상복합시설 신축공사,7400.00,19.05,0.00,20180702,20180817,36330.00,진행중,4418,1
E00114000001,서울시 강남구 대치동 891-38번지 오피스텔 신축공사,13004.00,14.61,0.00,20180401,20180719,17600.00,진행중,0,1
E00114000002,서울시 강남구 대치동 891-63번지 오피스텔 신축공사,13004.00,14.61,0.00,20180401,20180719,17600.00,진행중,0,1
E00017000001,수락산 외 1역 승강편의시설 설치공사 소규모 지하안전영향평가 용역(36공구),2736.00,14.34,0.00,20180604,20181001,66471.00,진행중,238,1
E00042000001,오산시 세교택지개발지구 자족 3BL 지식산업센터 신축공사 소규모지하안전영향평가 용역,160000.00,14.20,0.00,20180710,20180808,48400.00,진행중,9443,1
E00144000001,심곡동 아파트 및 근린생활시설 신축공사 소규모 지하안전영향평가,6000.00,13.00,0.00,20180501,20180910,55000.00,진행중,1210,1
E00116000001,용인 수지 풍덕천동 근린생활시설 신축공사,9100.00,18.21,0.00,20180701,20180808,59400.00,진행중,7473,1
E00090000001,안양동 199번지 지식산업센터 신축공사,109000.00,18.46,0.00,20180702,20180806,55000.00,진행중,6612,1
E00024000001,여수시 학동 장미아파트 지역 주택조합 아파트 신축공사,2173.00,17.86,0.00,20180810,20180910,55000.00,진행중,38562,1
E00036000001,금천구 가산동 345-24 지식산업센터 신축공사,31200.00,19.80,0.00,20180406,20180504,59400.00,진행중,3140,1
E00036000002,수성 범어W 신축공사,1222200.00,15.40,0.00,20180413,20180424,66000.00,진행중,21266,1
E00150000001,영도구 동삼하리지구 복합개발사업 소규모 지하안전영향평가,236000.00,12.86,0.00,20180529,20180712,64900.00,진행중,23671,1
E00036000003,안양 아이에스 비즈타워 신축공사,190000.00,15.42,0.00,20180308,20180313,77000.00,진행중,31662,1
E00036000004,논현동 236-7 업무시설 신축공사,5000.00,19.90,0.00,20180409,20180718,54450.00,진행중,430,1
