facilNo,facilNm,startYmd,endYmd,dignGbn,no
CAP1977-000001,Steam 이송배관 (지하 공동구),20191206,20191206,육안조사,1
CAP1977-000001,Steam 이송배관 (지하 공동구),20201205,20201205,육안조사,2
CAP1977-000001,Steam 이송배관 (지하 공동구),20211101,20211101,육안조사,3
CAP1980-000001,예비 공업용수 관로,20191219,20191219,육안조사,4
CAP1980-000002,해수 배수관,20191217,20191227,육안조사,5
CAP1980-000002,해수 배수관,20191217,20191220,공동조사,6
CAP1980-000002,해수 배수관,20201207,20201209,육안조사,7
CAP1980-000002,해수 배수관,20211101,20211105,육안조사,8
CAP1980-000002,해수 배수관,20211101,20211105,육안조사,9
CAP1987-000002,열수송관,20180903,20180907,육안조사,10
CAP1987-000002,열수송관,20190902,20190904,육안조사,11
CAP1987-000002,열수송관,20200921,20200922,육안조사,12
CAP1987-000002,열수송관,20210906,20210910,육안조사,13
CAP1987-000003,해수 인수관,20191217,20191220,공동조사,14
CAP1987-000003,해수 인수관,20191217,20191227,육안조사,15
CAP1987-000003,해수 인수관,20201207,20201209,육안조사,16
CAP1987-000003,해수 인수관,20211101,20211105,육안조사,17
CAP1987-000003,해수 인수관,20211101,20211105,육안조사,18
CAP1987-000004,열수송관,20191001,20191011,육안조사,19
CAP1987-000004,열수송관,20201029,20201106,육안조사,20
CAP1987-000004,열수송관,20210913,20210930,육안조사,21
CAP1989-000001,열수송관,20191028,20191107,육안조사,22
CAP1992-000001,열수송관(난방),20180927,20181002,육안조사,23
CAP1992-000001,열수송관(난방),20190927,20191002,육안조사,24
CAP1992-000001,열수송관(난방),20200922,20200923,육안조사,25
CAP1992-000001,열수송관(난방),20211019,20211101,육안조사,26
CAP1992-000002,열수송관(방화-01),20191125,20191126,육안조사,27
CAP1993-000001,열수송관(이중보온관),20201001,20201031,육안조사,28
CAP1993-000001,열수송관(이중보온관),20201001,20201015,육안조사,29
CAP1993-000001,열수송관(이중보온관),20200901,20200930,육안조사,30
CAP1993-000006,열수송관(가양-01),20191125,20191126,육안조사,31
CAP1993-000007,열수송관(가양-02),20191125,20191126,육안조사,32
CAP1993-000008,지역난방 공급용 열수송관,20210712,20210723,육안조사,33
CAP1993-000009,지역난방 공급용 열수송관,20210712,20210723,육안조사,34
CAP1993-000011,열수송관(난방),20210901,20210930,육안조사,35
CAP1993-000013,열수송관(난방),20210901,20210930,육안조사,36
CAP1994-000001,열수송관,20191216,20191216,육안조사,37
CAP1994-000001,열수송관,20201127,20201127,육안조사,38
CAP1994-000002,열수송관,20191216,20191216,육안조사,39
CAP1994-000002,열수송관,20201127,20201127,육안조사,40
CAP1994-000003,열수송관,20191216,20191216,육안조사,41
CAP1994-000003,열수송관,20201127,20201127,육안조사,42
CAP1994-000004,열수송관,20191216,20191216,육안조사,43
CAP1994-000004,열수송관,20201127,20201127,육안조사,44
CAP1994-000006,열수송관,20191216,20191216,육안조사,45
CAP1994-000006,열수송관,20201127,20201127,육안조사,46
CAP1994-000007,열수송관(등촌-01),20191125,20200226,육안조사,47
CAP1995-000007,(7) 31번 국도 19초소 배관 Culvert,20200117,20200120,육안조사,48
CAP1995-000018,열수송관(난방),20180915,20181015,육안조사,49
CAP1995-000018,열수송관(난방),20191119,20191126,육안조사,50
CAP1995-000026,이중보온관,20210501,20211130,공동조사,51
CAP1995-000034,열수송관(일산동구),20210501,20211130,공동조사,52
CAP1995-000037,열수송관(일산서구),20210501,20211130,공동조사,53
CAP1995-000038,이중보온관,20210501,20211130,공동조사,54
CAP1996-000001,열수송관(양천-02),20191125,20191126,육안조사,55
CAP2000-000004,한국지역난방공사 김해사업소 열수송관,20191223,20191224,육안조사,56
CAP2000-000004,한국지역난방공사 김해사업소 열수송관,20201022,20201023,육안조사,57
CAP2000-000004,한국지역난방공사 김해사업소 열수송관,20211202,20211203,육안조사,58
CAP2000-000004,한국지역난방공사 김해사업소 열수송관,20220822,20221004,공동조사,59
CAP2000-000005,열수송관,20201116,20201120,육안조사,60
CAP2000-000005,열수송관,20201116,20201120,육안조사,61
CAP2000-000005,열수송관,20201116,20201120,육안조사,62
CAP2000-000005,열수송관,20201116,20201120,육안조사,63
CAP2000-000005,열수송관,20201116,20201120,육안조사,64
CAP2000-000005,열수송관,20201116,20201120,육안조사,65
CAP2000-000005,열수송관,20201116,20201120,육안조사,66
CAP2000-000005,열수송관,20201116,20201120,육안조사,67
CAP2000-000005,열수송관,20201116,20201120,육안조사,68
CAP2000-000005,열수송관,20201116,20201120,육안조사,69
