corpCd,corpNm,no
E00001,주식회사 미림엔지니어링,1
E00002,한국종합기술,2
E00003,(주)선진엔지니어링종합건축사사무소,3
E00004,주식회사 무진이엔씨,4
E00005,(주)제일기초이엔씨,5
E00006,(주)하나기술단,6
E00008,평화지오텍(주),7
E00009,(주)삼보기술단,8
E00010,(주)에스텍컨설팅그룹,9
E00011,(주)디케이엘,10
E00012,(주)지오그린21,11
E00013,(주)토우지오,12
E00014,(주)지엠씨,13
E00015,주식회사 연웅이앤씨,14
E00016,(주)진산,15
E00017,(주)지반솔루션,16
E00018,지케이엔지니어링주식회사,17
E00020,(주)에이플러스이엔지,18
E00021,(주)율현기술단,19
E00022,(주)덕성알파이엔지,20
E00023,(주)나우지오컨설턴트,21
E00024,(주)대교컨설턴트,22
E00025,(주)동일기술공사,23
E00026,(주)단우기술단,24
E00027,(주)엘메스코리아,25
E00028,(주)건설품질시험원,26
E00029,(주)신흥종합기술,27
E00030,(주)바이텍이엔지,28
E00031,(주)세진이엔씨,29
E00032,(주)대흥종합엔지니어링건축사사무소,30
E00033,(주)세광엔지니어링,31
E00035,(주)제일엔지니어링종합건축사사무소,32
E00036,주식회사 보라엔지니어링,33
E00038,(주)에스코컨설턴트,34
E00039,(주)지오그룹이엔지,35
E00040,(주)지윤이앤씨,36
E00041,주식회사 삼일씨이씨,37
E00042,(주)경보기술단,38
E00043,(주)한국지오컨설턴트,39
E00044,(주)새길이엔시,40
E00045,(주)에이스올,41
E00046,(주)가우리안,42
E00047,씨앤유플러스 주식회사,43
E00048,테스트(평가전문기관)2,44
E00049,주식회사 화성에스엔씨,45
E00050,(주)하이콘엔지니어링,46
E00051,한국기술개발(주),47
E00052,(주)경호엔지니어링종합건축사사무소,48
E00053,(주)동아기술공사,49
E00054,(주)평화엔지니어링,50
E00055,셀파이엔씨 주식회사,51
E00056,나우이엔씨(주),52
E00057,주식회사 지호엔지니어링,53
E00058,주식회사 이에스지오,54
E00059,(주)광림엔지니어링건설,55
E00060,(주)다솔엔지니어링,56
E00061,(주)다솔컨설턴트,57
E00062,(주)피아이컴퍼니,58
E00063,(주)아남이엔지,59
E00064,주식회사 동성지오텍,60
E00065,(주)아주엔지니어링,61
E00066,케이비이티에스 주식회사,62
E00067,주식회사 케이알티씨,63
E00068,(주)신명건설기술공사,64
E00069,케이에스엠기술(주),65
E00070,주식회사 동운,66
E00071,(주)토원,67
E00072,(주)한진지오이앤씨,68
E00073,(주)이피에스엔지니어링,69
E00074,주식회사 동우이엔텍,70
E00075,(주)도담이앤씨,71
E00076,(주)고려컨설턴트,72
E00078,(주)건화,73
E00079,주식회사 더원테크,74
E00080,주식회사 씨이이엔씨,75
E00081,(주)고산엔지니어링,76
