corpCd,corpNm,evalNo,evalNm,evalClass,saupNo,no
E00001,주식회사 미림엔지니어링,E00001000003,인천 경서동 944-1 오피스텔 신축 지하안전영향평가,지하안전평가,20191880,1
E00001,주식회사 미림엔지니어링,E00001000005,신반포21차아파트 주택재건축정비사업 지하안전영향평가,지하안전평가,20240069,2
E00001,주식회사 미림엔지니어링,E00001000011,선화2구역 재개발정비사업 지하안전영향평가,지하안전평가,20200127,3
E00001,주식회사 미림엔지니어링,E00001000012,청주고속터미널 복합개발사업 지하안전영향평가 수행 용역,지하안전평가,20200258,4
E00001,주식회사 미림엔지니어링,E00001000013,청주고속터미널 복합개발사업 지하안전영향평가 수행 용역,지하안전평가,20200260,5
E00001,주식회사 미림엔지니어링,E00001000015,과천지식정보타운 지식 10BL 지하안전영향평가,지하안전평가,20200339,6
E00001,주식회사 미림엔지니어링,E00001000017,"고양덕은지구 도시개발사업 업무11,12블럭 지식산업센터 지하안전영향평가",지하안전평가,20200357,7
E00001,주식회사 미림엔지니어링,E00001000024,"판교 제2테크노밸리 G2블록(G2-1,2-2) 업무시설 신축산업 지하안전영향평가",지하안전평가,20201047,8
E00001,주식회사 미림엔지니어링,E00001000025,경기도 광주시 경안동 업무시설 및 도시형생활주택 신축공사 지하안전영향평가,지하안전평가,20201191,9
E00001,주식회사 미림엔지니어링,E00001000026,"강남구 역삼동 653-4번지 지구단위계획구역 A1, A2BL 신축공사",지하안전평가,20200369,10
E00001,주식회사 미림엔지니어링,E00001000027,등촌동 629-1번지 일원 지식산업센터 신축공사-지하안전영향평가,지하안전평가,20210078,11
E00001,주식회사 미림엔지니어링,E00001000028,서초동 1445-1번지 외 1필지 오피스텔 신축 소규모 지하안전영향평가,지하안전평가,20210126,12
E00001,주식회사 미림엔지니어링,E00001000031,동대문구 전농동 620-15 일원 오피스텔 신축공사 소규모 지하안전영향평가,지하안전평가,20210215,13
E00001,주식회사 미림엔지니어링,E00001000032,묵동 역세권개발사업(오피스텔) / 지하안전영향평가,지하안전평가,20210390,14
E00001,주식회사 미림엔지니어링,E00001000033,마곡 MICE 복합단지 특별계획구역 건설사업 CP-1 - 지하안전영향평가,지하안전평가,20210565,15
E00001,주식회사 미림엔지니어링,E00001000034,마곡 MICE 복합단지 특별계획구역 건설사업 CP-2 - 지하안전영향평가,지하안전평가,20210566,16
E00001,주식회사 미림엔지니어링,E00001000035,남양주 지금·도농6-2구역 주택재개발정비사업 신축공사 설계용역(A블럭),지하안전평가,20210787,17
E00001,주식회사 미림엔지니어링,E00001000036,남양주 지금·도농6-2구역 주택재개발정비사업 신축공사 설계용역(B블럭),지하안전평가,20210788,18
E00001,주식회사 미림엔지니어링,E00001000037,남양주 지금·도농6-2구역 주택재개발정비사업 신축공사 설계용역(C블럭),지하안전평가,20210789,19
E00001,주식회사 미림엔지니어링,E00001000038,"서울시 강남구 청담동 48, 48-1 지하안전평가",지하안전평가,20210828,20
E00001,주식회사 미림엔지니어링,E00001000040,"서울시 강남구 청담동 50-1, 50-2 지하안전영향평가",지하안전평가,20210892,21
E00001,주식회사 미림엔지니어링,E00001000047,마곡 MICE복합단지 특별계획구역 건설사업 CP3-1 - 지하안전영향평가,지하안전평가,20211207,22
E00001,주식회사 미림엔지니어링,E00001000048,마곡 MICE복합단지 특별계획구역 건설사업 CP-3-2 - 지하안전영향평가,지하안전평가,20211577,23
E00001,주식회사 미림엔지니어링,E00001000049,강동구 길동 415-9 번지 복합개발사업 지하안전영향평가용역,지하안전평가,20211292,24
E00001,주식회사 미림엔지니어링,E00001000050,"인천광역시 서구 청라동 97-1번지 (C4-2-1BL) 업무시설(오피스텔), 근린생활시설 ",지하안전평가,20211599,25
E00001,주식회사 미림엔지니어링,E00001000053,화성 병점 복합타운 상업용지 13필지 중 10BL 일반지하안전영향평가,지하안전평가,20211704,26
E00001,주식회사 미림엔지니어링,E00001000054,신촌 도시형 생활주택 신축공사 지하안전영향평가,지하안전평가,20211886,27
E00001,주식회사 미림엔지니어링,E00001000055,마곡 MICE복합단지 특별계획구역 건설사업 CP3-1 - 지하안전영향평가,지하안전평가,20220018,28
E00001,주식회사 미림엔지니어링,E00001000056,대신시장주상복합정비사업 지하안전영향평가,지하안전평가,20220105,29
E00001,주식회사 미림엔지니어링,E00001000058,여수시 학동 68-15일원 주상복합 신축공사 (지하안전영향평가),지하안전평가,20220437,30
E00001,주식회사 미림엔지니어링,E00001000060,대사동1구역 재개발정비사업 (토목관련분야 - 지하안전영향평가),지하안전평가,20211200,31
E00001,주식회사 미림엔지니어링,E00001000061,상봉터미널 복합개발사업,지하안전평가,20221105,32
E00001,주식회사 미림엔지니어링,E00001000070,고양IDC 신축공사 지하안전영향평가 용역,지하안전평가,20221312,33
E00001,주식회사 미림엔지니어링,E00001000089,"강남구 청담동 53-8,22 번지 일원 지하안전평가",지하안전평가,20240244,34
E00001,주식회사 미림엔지니어링,E00001000091,돈암제6구역 주택재개발정비사업 지하안전평가,지하안전평가,20240464,35
E00001,주식회사 미림엔지니어링,E00001000092,부산 마린시티 복합시설 개발사업 / 지하안전평가,지하안전평가,20230778,36
E00001,주식회사 미림엔지니어링,E00001000001,다산 진건지구 으뜸 웰타워 신축공사,소규모지하안전평가,20180145,37
E00001,주식회사 미림엔지니어링,E00001000002,다산진건지구 업무 3-1BL 복합시설 신축공사,소규모지하안전평가,20180146,38
E00001,주식회사 미림엔지니어링,E00001000004,인천루원시티 주상복합 신축공사 소규모 지하안전영향평가,소규모지하안전평가,20191904,39
E00001,주식회사 미림엔지니어링,E00001000006,역삼동 677-3번지 업무시설 신축사업 소규모 지하안전영향평가,소규모지하안전평가,20191700,40
E00001,주식회사 미림엔지니어링,E00001000008,부천 옥길지구 4-2BL 지식산업센터 신축공사,소규모지하안전평가,20191425,41
E00001,주식회사 미림엔지니어링,E00001000014,오산시 세교동 601-9 오피스텔 신축공사,소규모지하안전평가,20200263,42
E00001,주식회사 미림엔지니어링,E00001000016,첨단2지구 Hudson 1041 지식산업센터 신축공사 중 소규모지하안전영향평가,소규모지하안전평가,20200344,43
E00001,주식회사 미림엔지니어링,E00001000018,서울 도봉구 방학동 빅마켓 도봉점 개발사업 중 소규모지하안전영향평가,소규모지하안전평가,20200525,44
E00001,주식회사 미림엔지니어링,E00001000019,양평군 양근리 공동주택 신축공사,소규모지하안전평가,20200530,45
E00001,주식회사 미림엔지니어링,E00001000020,판교 제2테크노밸리 지원4 D2-1 업무시설 신축공사 소규모지하안전영향평가,소규모지하안전평가,20200713,46
