corpCd,corpNm,entryYmd,corpRegNo,saupjaNo,pubYn,zipNo,addr,otherBizType,businessType,subBusiness,signStatus,signDate,useStatus,no
E00001,주식회사 미림엔지니어링,20180112,1101112245309,1088128640,민간,08390,"서울특별시 구로구 디지털로32길 30, 코오롱 타워빌란트 1차 1216호 (구로동)",,,,승인완료,,정상,1
E00002,한국종합기술,20180404,1101110038326,1298120591,민간,12927,"경기도 하남시 덕풍동로 111-21, 201호 (덕풍동)",,엔지니어링사업자,,승인완료,,정상,1
E00003,(주)선진엔지니어링종합건축사사무소,20180124,1101110229628,1178108600,민간,13840,"경기도 과천시 과천대로7길 20, B타워 5~6층 (갈현동)",,,,승인완료,,정상,1
E00004,주식회사 무진이엔씨,20180126,1101112727349,2148729607,민간,08377,"서울특별시 구로구 디지털로33길 28, 206호 (구로동)",,,,승인완료,,정상,1
E00005,(주)제일기초이엔씨,20180212,1101110821812,1208138018,민간,05020,"서울특별시 광진구 아차산로 191, 동신빌딩 302호 (화양동)",,엔지니어링사업자,,승인완료,,정상,1
E00006,(주)하나기술단,20180105,1801110240307,6028113275,민간,48059,"부산광역시 해운대구 센텀동로 99, 1508호 (재송동, 벽산이센텀클래스원)",,엔지니어링사업자,엔지니어링사업자,승인완료,,정상,1
E00008,평화지오텍(주),20180416,1101113390145,2128174934,민간,48820,"부산광역시 동구 중앙대로 169, 1203 (초량동)",,,,승인완료,,말소,1
E00009,(주)삼보기술단,20180102,1101110956033,6058124465,민간,38654,"경상북도 경산시 대학로 63, 7층 (정평동)",,엔지니어링사업자,,승인완료,,정상,1
E00010,(주)에스텍컨설팅그룹,20180126,1101112202911,2208609157,민간,04099,"서울특별시 마포구 서강로 82, 정상JLS빌딩 6층 (창전동)",,,,승인완료,,정상,1
E00011,(주)디케이엘,20180321,1101114284545,1078731974,민간,63309,"제주특별자치도 제주시 첨단로 213-3, 415호 (영평동)",,,,승인완료,,정상,1
E00012,(주)지오그린21,20180124,1101112063214,1198141769,민간,08376,"서울특별시 구로구 디지털로33길 55, 901호 (구로동)",,,,승인완료,,정상,1
E00013,(주)토우지오,20180302,1101115784180,3178600163,민간,06775,"서울특별시 서초구 논현로17길 9, 3층 (정호빌딩) (양재동)",,,,승인완료,,정상,1
E00014,(주)지엠씨,20180118,2201110096941,6168600643,민간,63219,"제주특별자치도 제주시 청사로 75, 5층 (도남동)",,,,승인완료,20180515,말소,1
E00015,주식회사 연웅이앤씨,20180118,1713110026001,5108131974,민간,63249,"제주특별자치도 제주시 인다15길 20-3, 제1동 101호 (아라일동)",,,,승인완료,,정상,1
E00016,(주)진산,20180308,2201110011642,6168110127,민간,63296,"제주특별자치도 제주시 일주동로 84, 2층  (화북이동)",비계구조물해체공사업,보링그라우팅공사,,승인완료,,말소,1
E00017,(주)지반솔루션,20190208,1101116614245,8958701000,민간,10237,"경기도 고양시 일산서구 덕이로 30-38, 2층 202호 4디-202호(덕이동, 양우씨네플렉스) (덕이동)",,지하안전영향평가,안전진단(교량 및 터널),승인완료,,정상,1
E00018,지케이엔지니어링주식회사,20180424,1101112752726,2148732062,민간,14119,"경기도 안양시 동안구 엘에스로91번길 16-39, 605호 (호계동)",,,,승인완료,,정상,1
E00020,(주)에이플러스이엔지,20180326,1801110807222,6218195507,민간,48059,"부산광역시 해운대구 센텀북대로 60, 404-405,407호 (재송동)",,지하안전영향평가,엔지니어링업 외,승인완료,,정상,1
