saupNo,saupNm,proStage,maxDigDepth,no
20180001,고색동 1181-3번지 근린생활시설 신축공사,협의요청,16.54,1
20180002,제주 연동 주상복합PJ,보완회신,21.72,2
20180044,천안 청수지구 548-1외 1필지 복합업무시설 신축공사,승인완료,16.00,3
20180045,권선동 1011-15 오피스텔 신축공사,협의요청,16.60,4
20180046,인계동 1036-13번지 도시형생활주택 신축공사,승인요청,17.60,5
20180047,김포시 구래동 6878-2 업무지구 신축공사,제출완료,19.84,6
20180048,성남 판교대장 도시개발구역 A11BL 공동주택 신축공사 소규모 지하안전영향평가,협의요청,19.86,7
20180049,성남 판교대장 도시개발구역 A12BL 공동주택 신축공사 소규모 지하안전영향평가,협의요청,15.69,8
20180050,성남 판교대장 도시개발구역 A1BL 공동주택 신축공사 소규모 지하안전영향평가,협의요청,14.20,9
20180051,성남 판교대장 도시개발구역 A2BL 공동주택 신축공사 소규모 지하안전영향평가,협의요청,15.30,10
20180052,경산시 중방동 897 주차전용건축물 신축공사,협의내용반영확인,19.50,11
20180053,위례택지개발 사업지구 C2-7블럭 복합시설 개발사업,협의요청,17.61,12
20180054,명동 센터포인트 복합시설 개발사업,승인요청,19.67,13
20180055,수성구 상동 근린생활시설 및 업무시설 신축공사,제출완료,19.95,14
20180056,성남 고등지구 자족 및 판매시설 1BL 지식산업센터 신축공사,협의요청,23.50,15
20180059,여수덕충동2037-2오피스텔신축공사,보완요청,19.75,16
20180060,속초시 영랑동 생활숙박 신축공사,검토 및 현지조사 의뢰,17.26,17
20180061,용호동 주상복합 신축공사,제출완료,14.19,18
20180062,연산동 기업형 임대주택 개발사업,제출완료,41.00,19
20180063,구례군 백련리 공동주택 신축공사,정보수정중,23.67,20
20180064,"성남 판교 알파돔 6-1, 6-2블럭 개발사업",협의요청,34.00,21
20180065,속초시 교동 986-3번지 일대 생활숙박시설 신축공사,검토 및 현지조사 의뢰,19.86,22
20180066,신안동 국제미소래아파트 신축공사,승인요청,11.90,23
20180067,제주시 연동 오피스텔 신축공사,제출완료,19.40,24
20180068,대구광역시 달서구 감삼동 와이즈 타워 주상복합 신축공사,승인요청,18.35,25
20180069,시흥 장현지구 6BL 복합상업시설 신축공사,협의요청,16.51,26
20180070,대치동 1008 복합시설 신축공사,제출완료,17.18,27
20180071,성남 판교 대장지구 A3BL 공동주택 신축공사,협의요청,11.26,28
20180072,죽전역 동화 I - WISH 신축공사,보완요청,15.44,29
