saupNo,saupNm,saupClass,groupCd,groupNm,zipNo,addr,staPlanYmd,endPlanYmd,constCost,maxDigDepth,digCapacity,digArea,devCorpNm,proStage,no
20180001,고색동 1181-3번지 근린생활시설 신축공사,건축물의 건축,F00011,은강개발,16633,"경기도 수원시 권선구 호매실로 21-26, 1181-3 (고색동)",20180702,20190611,2000.00,16.54,0.00,0.00,은강개발,협의요청,1
20180002,제주 연동 주상복합PJ,건축물의 건축,F00012,씨앤아이개발주식회사,63133,"제주특별자치도 제주시 신광로 87, 274-13 (연동)",20180702,20210131,15000.00,21.72,0.00,0.00,씨앤아이개발 주식회사,보완회신,1
20180044,천안 청수지구 548-1외 1필지 복합업무시설 신축공사,건축물의 건축,F00015,경천개발(주),,"충남 천안시 동남구 청당동 548-1,2 번지",20180901,20181031,40000.00,16.00,0.00,0.00,경천개발(주),승인완료,1
20180045,권선동 1011-15 오피스텔 신축공사,건축물의 건축,F00014,주식회사에코시티,16571,"경기도 수원시 권선구 효원로220번길 31, 1011-15번지 (권선동)",20180903,20200228,2000.00,16.60,0.00,0.00,에코시티,협의요청,1
20180046,인계동 1036-13번지 도시형생활주택 신축공사,건축물의 건축,F00016,주식회사 브엘세바,16489,"경기도 수원시 팔달구 인계로124번길 11, 1036-13 (인계동)",20180702,20190701,2000.00,17.60,0.00,0.00,주식회사 브엘세바,승인요청,1
20180047,김포시 구래동 6878-2 업무지구 신축공사,건축물의 건축,F00018,(주)에스와이종합개발,21621,"인천광역시 남동구 도림북로16번길 55, 1층 (도림동)",20181001,20201231,16000.00,19.84,0.00,0.00,(주)에스와이종합개발,제출완료,1
20180048,성남 판교대장 도시개발구역 A11BL 공동주택 신축공사 소규모 지하안전영향평가,도시개발,F00020,주식회사 하나자산신탁,37863,경기도 성남시 분당구 대장동 181-1일원,20180930,20210228,342720.00,19.86,0.00,0.00,(주)하나자산신탁,협의요청,1
20180049,성남 판교대장 도시개발구역 A12BL 공동주택 신축공사 소규모 지하안전영향평가,도시개발,F00020,주식회사 하나자산신탁,37863,경기도 성남시 분당구 대장동 287일원,20180930,20210228,418390.00,15.69,0.00,0.00,(주)하나자산신탁,협의요청,1
20180050,성남 판교대장 도시개발구역 A1BL 공동주택 신축공사 소규모 지하안전영향평가,도시개발,F00020,주식회사 하나자산신탁,03182,경기도 성남시 분당구 대장동 50 일원,20181031,20210228,403460.00,14.20,0.00,0.00,(주)하나자산신탁,협의요청,1
20180051,성남 판교대장 도시개발구역 A2BL 공동주택 신축공사 소규모 지하안전영향평가,도시개발,F00020,주식회사 하나자산신탁,03182,경기도 성남시 분당구 대장동 56 일원,20181031,20210228,339900.00,15.30,0.00,0.00,(주)하나자산신탁,협의요청,1
20180052,경산시 중방동 897 주차전용건축물 신축공사,건축물의 건축,F00019,동양종합건설(주),,경산시 중방동 897번지,20180810,20200330,30248.00,19.50,0.00,0.00,,협의내용반영확인,1
20180053,위례택지개발 사업지구 C2-7블럭 복합시설 개발사업,건축물의 건축,F00021,(주)키움디앤씨,16842,경기도 성남시 수정구 창곡동 446-4,20180701,20190930,45000.00,17.61,0.00,0.00,(주)키움디앤씨,협의요청,1
20180054,명동 센터포인트 복합시설 개발사업,건축물의 건축,F00024,마스턴제28호센터포인트명동피에프브이 주식회사,04534,서울특별시 중구 남대문로 84 (을지로2가),20181220,20210220,48000.00,19.67,0.00,0.00,,승인요청,1
20180055,수성구 상동 근린생활시설 및 업무시설 신축공사,건축물의 건축,F00023,주식회사아르케,38450,대구광역시 수성구 들안로 113 (상동),20180830,20200130,73561.00,19.95,0.00,0.00,주식회사아르케,제출완료,1
20180056,성남 고등지구 자족 및 판매시설 1BL 지식산업센터 신축공사,건축물의 건축,F00025,(주)호반건설,,경시도 성남시 수정구 고등동 497-4 일대,20180901,20201031,106800.00,23.50,0.00,0.00,(주)호반건설,협의요청,1
20180059,여수덕충동2037-2오피스텔신축공사,건축물의 건축,F00026,더푸른도시개발,06593,"전라남도 여수시 덕충안길 86, 2037-2 (덕충동)",20180730,20200529,50182.00,19.75,0.00,0.00,더푸른도시개빌,보완요청,1
20180060,속초시 영랑동 생활숙박 신축공사,건축물의 건축,F00020,주식회사 하나자산신탁,24808,강원도 속초시 영랑해안9길 24 (영랑동),20180630,20200731,45000.00,17.26,0.00,0.00,,검토 및 현지조사 의뢰,1
20180061,용호동 주상복합 신축공사,건축물의 건축,F00027,(주)용호디엔씨,,,20180801,20191001,8000.00,14.19,0.00,0.00,(주)용호디엔씨,제출완료,1
20180062,연산동 기업형 임대주택 개발사업,도시개발,F00028,경동건설(주),,부산광역시 연제구 연산동 산185번지 일원,20190101,20210701,165000.00,41.00,0.00,0.00,경동건설(주),제출완료,1
20180063,구례군 백련리 공동주택 신축공사,건축물의 건축,F02567,대한토지신탁(주),57650,전라남도 구례군 구례읍 백련천길 26-1,20181001,20200930,60700.00,23.67,0.00,0.00,,정보수정중,1
20180064,"성남 판교 알파돔 6-1, 6-2블럭 개발사업",건축물의 건축,F00030,주식회사 알파돔시티,13529,"경기도 성남시 분당구 판교역로 지하 160, 중심상업용지 6-1, 6-2블럭 (백현동)",20181101,20210731,403000.00,34.00,0.00,0.00,주식회사 알파돔시티,협의요청,1
20180065,속초시 교동 986-3번지 일대 생활숙박시설 신축공사,건축물의 건축,F00034,시티엔네쳐주식회사,24855,"강원도 속초시 교동 986-3번지 외(986-1,2,4)",20181025,20210225,60000.00,19.86,0.00,0.00,시티엔네쳐주식회사,검토 및 현지조사 의뢰,1
20180066,신안동 국제미소래아파트 신축공사,도시개발,F00035,미소래주식회사,57049,광주광역시 북구 신안동11-1번지 외8필지,20180820,20201030,23500.00,11.90,0.00,0.00,미소래주식회사,승인요청,1
20180067,제주시 연동 오피스텔 신축공사,건축물의 건축,F00036,주로인터내셔날 주식회사,63136,제주특별자치도 제주시 신광로 95 (연동),20181001,20200601,39532.00,19.40,0.00,0.00,,제출완료,1
20180068,대구광역시 달서구 감삼동 와이즈 타워 주상복합 신축공사,건축물의 건축,F00037,우리자산신탁 주식회사,42643,대구광역시 달서구 와룡로 190 (감삼동),20181031,20220131,306000.00,18.35,0.00,0.00,,승인요청,1
20180069,시흥 장현지구 6BL 복합상업시설 신축공사,도시개발,F00038,주식회사 에이치엠지인베스트,14999,경기도 시흥시 능곡두일2길 9-18 (능곡동),20181101,20210630,195000.00,16.51,0.00,0.00,,협의요청,1
20180070,대치동 1008 복합시설 신축공사,건축물의 건축,F00040,(주)컬쳐랜드,06177,서울특별시 강남구 영동대로 326 (대치동),20180901,20200630,0.00,17.18,0.00,0.00,,제출완료,1
20180071,성남 판교 대장지구 A3BL 공동주택 신축공사,도시개발,F00039,주식회사 에이치엠지하우징,13544,경기도 성남시 분당구 대장동 210,20180930,20210331,155700.00,11.26,0.00,0.00,,협의요청,1
20180072,죽전역 동화 I - WISH 신축공사,건축물의 건축,F00041,(주)동화건설,41907,대구광역시 달서구 감삼동 492-2(사업장),20181001,20210331,176730.00,15.44,0.00,0.00,(주)동화건설,보완요청,1
20180073,아산시 온천동 공동주택 복합빌딩 신축공사,건축물의 건축,F00044,(주)하은,28456,"충청남도 아산시 번영로115번길 11-16, 2층 (온천동)",20181015,20211130,76000.00,15.00,0.00,0.00,(주)하은,사업 등록 완료,1
20180074,"성남 판교대장 도시개발구역 A7, 8BL 공동주택 신축공사",도시개발,F00046,(주)영우홀딩스,13544,"경기도 성남시 분당구 두밀로219번길 7, 대장동 204-1 (대장동)",20181205,20210331,406056.00,18.10,0.00,0.00,,협의요청,1
20180075,진해동부맑은물재생센터 증설사업(2단계),도시개발,F00045,창원시청,51612,"경상남도 창원시 진해구 남영로527번길 10, 진해동부맑은물재생센터 (남양동)",20181001,20201231,30229.00,18.75,0.00,0.00,,제출완료,1
20180076,"부천옥길지구 자족3-2, 3-3 지식산업센터 신축공사",도시개발,F00049,서영개발(주),14784,경기 부천시 옥길동 575번지 (옥길동),20181031,20200529,60700.00,14.06,0.00,0.00,서영개발(주),승인요청,1
20180077,아산 탕정지구 5-1BL 오피스복합빌딩 개발PJT,건축물의 건축,F00050,주식회사 좋은집,06121,"서울특별시 강남구 봉은사로 129, 1212호 (논현동)",20180901,20200430,26000.00,16.43,0.00,0.00,|주|좋은집,협의결과통보,1
20180078,부산 수영구 민락동 D7-10~12 복합시설 개발계획,건축물의 건축,F00051,플래닝더모스트2호 주식회사,44495,"울산광역시 중구 남외2길 38, 5층 (남외동)",20181101,20210410,158000.00,18.21,0.00,0.00,플래닝더모스트2호주식회사,보완요청,1
20180079,나라키움 서대문세무서 개발사업,도시개발,F00053,한국자산관리공사,48400,"부산광역시 남구 문현금융로 40, 한국자산관리공사 (문현동)",20181231,20201231,39300.00,14.00,0.00,0.00,,협의요청,1
20180080,성남 판교대장 도시개발사업지구 A6BL 공동주택 신축공사,도시개발,F00039,주식회사 에이치엠지하우징,13544,경기도 성남시 분당구 대장동 114-1,20180930,20210331,572400.00,15.06,0.00,0.00,(주)에이치엠하우징,협의요청,1
20180081,동구 신천동 근린생활시설 및 오피스텔 신축공사,건축물의 건축,F00042,청우디에이주식회사,,"대구광역시 동구 신천동 327-3,4번지",20180905,20210305,61074.00,28.35,0.00,0.00,청우디에이주식회사,승인요청,1
20180082,대구국가산업단지 A2-1블럭 대방 노블랜드 아파트 신축공사,도시개발,F00047,디비건설 주식회사,,대구광역시 달성군 구지면 창리 1434번지,20181018,20210617,135334.00,14.70,0.00,0.00,,승인요청,1
20180083,제주시 노형동 숙박시설 신축공사,건축물의 건축,F00055,브이아이피레지던스(주),63081,"제주특별자치도 제주시 원노형3길 39, 노형동 912-8,9 (노형동)",20190101,20210630,17000.00,10.70,0.00,0.00,,검토결과 회신,1
