evalNo,evalNm,maxDigDepth,proStage,no
E00014000001,제주시 연동 274-13번지 일원 주상복합시설 지하안전영향평가,21.72,진행중,1
E00038000001,성남 고등지구 자족 및 판매시설 1BL 지식산업센터 신축공사 지하안전영향평가,23.50,진행중,2
E00006000001,연산동 기업형 임대주택 계획에 따른 지하안전영향평가 및 지반조사 용역,41.00,진행중,3
E00038000002,"판교 알파돔 6-1, 6-2블럭 개발사업",34.00,진행중,4
E00031000003,신천동 근린생활 및 오피스텔 신축에 따른 지하안전영향평가,28.35,진행중,5
E00027000002,김포한강신도시 MS-11-3BL 복합시설 신축공사,23.70,진행중,6
E00103000001,대구도시철도1호선 하양연장건설 지하안전영향평가 용역(긴급),17.59,진행중,7
E00019000001,구포 봄여름가을겨울3차아파트 신축에 따른 지하안전영향평가용역,25.00,진행중,8
E00133000001,성남고등지구 자족용지 지식산업센터 신축공사 지하안전영향평가,20.83,진행중,9
E00075000001,시흥 은계지구 업무 2-4블럭 오피스텔 신축공사 지하안전영향평가,24.45,진행중,10
E00075000002,김포시 풍무지구 메트로프라임 신축공사 지하안전영향평가,21.46,진행중,11
E00022000002,파트너스 플라자 신축공사 지하안전영향평가,35.86,진행중,12
E00049000001,"동탄신도시 인성 주상복합건축물(근린생활시설, 오피스텔) 신축공사",23.00,진행중,13
E00010000006,마포로1구역 제12.13지구 재개발사업,25.25,진행중,14
E00038000003,"성남 판교 알파돔 6-1, 6-2블럭 개발사업(보완)",36.95,진행중,15
E00046000002,김포우리병원 증축공사 지하안전영향평가,20.61,진행중,16
E00099000001,EX-Smartcenter 신축공사 지하안전영향평가,24.80,진행중,17
E00038000005,제주 중문 복합리조트(숙박시설) 지하안전영향평가,22.00,진행중,18
E00163000002,파주 와동동 1431-1 월드타워12차 신축공사,15.36,진행중,19
E00038000006,여수 안산동 부영아파트 1단지 신축공사 지하안전영향평가,29.00,작성중,20
E00038000007,여수 안산동 부영아파트 2단지 신축공사 지하안전영향평가,25.00,작성중,21
E00102000004,KB국민은행 덕천동 지점 개발사업,30.39,진행중,22
E00075000004,아산시 배방지구 아산 오피스텔 신축공사 지하안전영향평가,26.56,진행중,23
E00134000001,파주운정지구 F1-P3BL 공공지원 민간임대 주택사업 지하안전영향평가,22.96,진행중,24
E00027000004,논현동 6-1 신축공사 지하안전영향평가,22.59,진행중,25
E00165000001,석유화학단지 완충저류시설 설치사업,27.37,진행중,26
E00154000001,판교 제2테크노밸리 E2-1블록 신축공사 지하안전영향평가,36.76,진행중,27
E00196000001,남제주 복합화력발전 지하안전영향평가,22.40,진행중,28
E00131000001,남원시 신정동 공동주택 신축공사,28.10,진행중,29
E00028000002,종광대2구역 주택재개발 정비사업 지하안전영향평가 용역,32.48,진행중,30
E00102000010,서초동 1339-7번지 청화오피스텔 신축공사,33.45,진행중,31
E00105000004,이천 하이닉스 M16 건설공사 반도체공장 비개착 공동구 지하안전영향평가,21.74,진행중,32
E00099000002,"고양시 덕양구 도내동 972, 973번지 근린생활시설 및 오피스텔 지하안전영향평가",20.70,진행중,33
E00099000003,"고양시 덕양구 도내동 974, 975번지 근린생활시설 및 오피스텔 지하안전영향평가",20.70,진행중,34
E00035000003,대구 달성군 현풍면 중리 오피스텔 신축공사 지하안전영향평가,24.30,진행중,35
E00086000002,순천향대학교 부속 새병원  지하안전영향평가 용역,29.68,진행중,36
E00017000004,당진대덕수청지구 상업시설 신축공사,24.33,진행중,37
E00105000006,이천 비상저류조 신축공사 지하안전영향평가,24.10,진행중,38
E00017000005,파주시- 명품3차 주상복합빌딩 신축공사,13.96,진행중,39
E00035000006,서울중앙지사 복합시설 개발사업 지하안전영향평가,32.10,진행중,40
E00065000002,문현3구역 주택재개발 정비사업,20.75,진행중,41
E00017000006,서초동 1327-34 복합시설 신축공사 지하안전영향평가,29.52,진행중,42
E00098000002,유성광역복합환승센터 개발사업 부지 내 복합여객터미널 사업,39.90,진행중,43
E00151000001,도시철도 환기구(감전~주례) 이설공사,11.00,진행중,44
E00065000007,봉래구역 1지구 도시환경정비사업 지하안전영향평가,26.20,진행중,45
E00065000008,"식사지구 E9-7,8 복합시설 신축공사 지하안전영향평가",27.31,진행중,46
E00198000005,파주시 와동동 1469-1 신축공사,15.95,진행중,47
E00154000002,판교 제2테크노밸리 E2-1블록 신축공사 지하안전영향평가(보완),35.11,진행중,48
E00223000001,신림동 역세권2030청년주택 신축공사 중 지반조사 및 지하안전영향평가,27.01,진행중,49
E00164000001,정자동 4-5번지 연구시설 신축공사,37.50,진행중,50
E00062000002,평택 고덕국제화계획지구 VIEW FIVE 신축공사 지하안전영향평가 용역,24.90,진행중,51
E00221000001,"1, 2호선 역사시설개량공사 지하안전영향평가",13.28,진행중,52
E00003000004,"345kV 신성남~동서울T/L 판교대장지구 지중화공사 지질조사, 지하안전영향평가 용역",51.00,진행중,53
E00200000003,울산 우정동 주택재개발정비사업 지반조사 및 지하안전영향평가용역,22.56,진행중,54
E00144000004,성남글로벌 ICT융합 플래닛 건립 지하안전영향평가,21.66,진행중,55
E00228000001,판교 DHNP 산학연센터 신축공사,2296.00,진행중,56
E00088000001,대구 중구 도원동 주상복합 신축공사 지하안전영향평가,27.00,진행중,57
E00066000003,대구광역시 수성구 만촌동 주상복합 신축공사 지하안전영향평가,24.65,진행중,58
E00006000009,재송2구역 주택재건축 정비사업에 따른 지하안전영향평가용역,33.65,진행중,59
E00204000002,예산 몽곡리 폐기물최종처분시설 조성사업 지하안전영향평가,48.00,진행중,60
E00066000004,대구시 수성구 만촌동 주거복합 신축공사,27.95,진행중,61
E00009000008,내부순환(만덕-센텀)도시고속화도로 민간투자사업 지하안전영향평가,22.90,진행중,62
E00218000002,대구시 달서구 대천동 공동주택 소규모 지하안전영향평가,14.29,진행중,63
E00038000008,대구광역시 수성구 복합문화시설 신축공사,25.68,진행중,64
E00196000002,경산-수성지역 전기공급시설 전력구공사(자인~시지) 외 2건 지하안전영향평가 용역중 자인-시지 구간,23.00,진행중,65
E00196000003,경산-수성지역 전기공급시설 전력구공사(자인~시지) 외 2건 지하안전영향평가 용역중 자인-시지 구간,23.00,진행중,66
E00066000005,"전주에코시티 주상복합용지 1,2BL 설계용역",26.06,진행중,67
E00176000001,광주광역시 금남로 오피스텔 신축공사,37.95,진행중,68
E00060000004,대구광역시 중구 삼덕동2가 와이즈타워 주거복합 신축공사,20.85,진행중,69
E00226000003,"칠성원, 경명, 상가 시장정비사업",30.80,진행중,70
E00006000010,사직1-6지구 주택재건축정비사업에 따른 지하안전영향평가 용역,29.00,진행중,71
E00010000010,"고양 원흥지구 상업4-4,5블럭 오피스텔 신축공사 지하안전영향평가",27.23,진행중,72
E00080000002,"여수시 학동 75, 76-5번지 숙박시설 신축공사",24.10,진행중,73
E00126000003,내당3지구 지역주택조합 주거복합시설 신축공사,22.00,진행중,74
E00196000004,경산-수성지역 전기공급시설 전력구공사(자인~시지) 외 2건 지하안전영향평가 용역중 범물-남대구 구간,13.00,진행중,75
E00044000002,다우기술컨소시엄 판교 제2사옥 신축공사,26.00,진행중,76
E00196000005,경산-수성지역 전기공급시설 전력구공사(자인~시지) 외 2건 지하안전영향평가 용역중 팔달-서침산 구간,11.00,진행중,77
E00196000006,경산-수성지역 전기공급시설 전력구공사(자인~시지) 외 2건 지하안전영향평가 용역중 팔달-서침산 구간,11.00,진행중,78
E00193000003,안양동 676-7번지 근린생활시설 신축공사 지하안전영향평가,1988.00,진행중,79
E00066000010,대구 진천동 라온프라이빗 주상복합 신축공사 지하안전영향평가,26.00,진행중,80
E00226000005,본리동 더퍼스트 주거복합 신축공사,20.70,진행중,81
E00097000004,범어동 OO주상복합 신축공사 지하안전영향평가 용역,24.00,진행중,82
E00043000004,세종특별자치시 1-5생활권 C37-3BL 관광호텔 및 근린생활시설 신축공사,27.00,진행중,83
E00224000001,오산세교 오피스텔  신축공사  소규모지하안전영향평가,20.00,진행중,84
E00133000003,대구 중구 동인동1가 주상복합 신축공사,24.00,진행중,85
E00194000001,도남지중화 사업 하천횡단 압입구간 지하안전영향평가 용역,19.50,진행중,86
E00029000001,울산역 복합환승센터주변 기반시설 정비공사 지하안전영향평가 용역,19.16,진행중,87
E00047000007,광산구 쌍암동 주상복합 신축공사,33.00,진행중,88
E00184000005,연제구 연산동(1124-25번지) 복합시설 신축공사 지하안전영향평가 용역,24.00,진행중,89
E00052000009,부산항(북항) 재개발사업지 내 상업·업무지구 D-3블럭 개발사업,29.76,진행중,90
E00154000017,대구중구 동인동 주거복합 신축공사,1965.00,진행중,91
E00185000002,안골천 우수암거 단면확장공사 지하안전영향평가,8.00,진행중,92
E00029000002,울산역 복합환승센터 주변 기반시설 정비공사 지하안전영향평가,19.16,진행중,93
