evalNo,evalNm,constCost,maxDigDepth,digCapacity,startYmd,endYmd,evalCost,proStage,digArea,no
E00014000001,제주시 연동 274-13번지 일원 주상복합시설 지하안전영향평가,15000.00,21.72,0.00,20180319,20180510,41000.00,진행중,34823,1
E00038000001,성남 고등지구 자족 및 판매시설 1BL 지식산업센터 신축공사 지하안전영향평가,106800.00,23.50,0.00,20180328,20180604,108223.00,진행중,9408,1
E00006000001,연산동 기업형 임대주택 계획에 따른 지하안전영향평가 및 지반조사 용역,165000.00,41.00,0.00,20180412,20180614,121000.00,진행중,43257,1
E00038000002,"판교 알파돔 6-1, 6-2블럭 개발사업",403000.00,34.00,0.00,20180521,20180703,189200.00,진행중,19204,1
E00031000003,신천동 근린생활 및 오피스텔 신축에 따른 지하안전영향평가,61074.00,28.35,0.00,20180416,20180610,176000.00,진행중,1605,1
E00027000002,김포한강신도시 MS-11-3BL 복합시설 신축공사,310000.00,23.70,0.00,20180709,20180817,88000.00,진행중,121940,1
E00103000001,대구도시철도1호선 하양연장건설 지하안전영향평가 용역(긴급),267254.00,17.59,280.00,20180430,20180728,74134.00,진행중,0,1
E00019000001,구포 봄여름가을겨울3차아파트 신축에 따른 지하안전영향평가용역,47000.00,25.00,0.00,20180327,20180726,9350.00,진행중,2966,1
E00133000001,성남고등지구 자족용지 지식산업센터 신축공사 지하안전영향평가,132800.00,20.83,0.00,20180610,20180829,77000.00,진행중,7290,1
E00075000001,시흥 은계지구 업무 2-4블럭 오피스텔 신축공사 지하안전영향평가,33255.00,24.45,0.00,20180731,20200123,99000.00,진행중,1438,1
E00075000002,김포시 풍무지구 메트로프라임 신축공사 지하안전영향평가,32000.00,21.46,0.00,20180501,20181119,88000.00,진행중,1110,1
E00022000002,파트너스 플라자 신축공사 지하안전영향평가,227813.00,35.86,0.00,20180620,20180831,60500.00,진행중,2616,1
E00049000001,"동탄신도시 인성 주상복합건축물(근린생활시설, 오피스텔) 신축공사",29000.00,23.00,0.00,20180515,20180710,66000.00,진행중,847,1
E00010000006,마포로1구역 제12.13지구 재개발사업,168000.00,25.25,0.00,20180607,20180821,82500.00,진행중,2234,1
E00038000003,"성남 판교 알파돔 6-1, 6-2블럭 개발사업(보완)",403000.00,36.95,0.00,20180521,20180910,189200.00,진행중,0,1
E00046000002,김포우리병원 증축공사 지하안전영향평가,3800.00,20.61,0.00,20180822,20180928,58000.00,진행중,4280,1
E00099000001,EX-Smartcenter 신축공사 지하안전영향평가,30000.00,24.80,0.00,20180807,20181004,90747.00,진행중,1986,1
E00038000005,제주 중문 복합리조트(숙박시설) 지하안전영향평가,246554.00,22.00,0.00,20180831,20181205,85360.00,진행중,0,1
E00163000002,파주 와동동 1431-1 월드타워12차 신축공사,25000.00,15.36,0.00,20180810,20181024,44000.00,진행중,2108,1
E00038000006,여수 안산동 부영아파트 1단지 신축공사 지하안전영향평가,197930.00,29.00,0.00,20180703,20180830,98217.00,작성중,4845,1
E00038000007,여수 안산동 부영아파트 2단지 신축공사 지하안전영향평가,99360.00,25.00,0.00,20180703,20180830,77783.00,작성중,20913,1
E00102000004,KB국민은행 덕천동 지점 개발사업,17610.00,30.39,0.00,20180615,20190304,90200.00,진행중,2471,1
E00075000004,아산시 배방지구 아산 오피스텔 신축공사 지하안전영향평가,4390.00,26.56,0.00,20180831,20190930,99660.00,진행중,1393,1
E00134000001,파주운정지구 F1-P3BL 공공지원 민간임대 주택사업 지하안전영향평가,849200.00,22.96,0.00,20180801,20190321,88000.00,진행중,11345,1
E00027000004,논현동 6-1 신축공사 지하안전영향평가,15000.00,22.59,0.00,20180928,20181101,12100.00,진행중,880,1
E00165000001,석유화학단지 완충저류시설 설치사업,44961.00,27.37,0.00,20180622,20180919,9100.00,진행중,5866,1
E00154000001,판교 제2테크노밸리 E2-1블록 신축공사 지하안전영향평가,90000.00,36.76,0.00,20181015,20181211,94600.00,진행중,4054,1
E00196000001,남제주 복합화력발전 지하안전영향평가,382100.00,22.40,0.00,20180810,20190123,111002.00,진행중,1099,1
E00131000001,남원시 신정동 공동주택 신축공사,78500.00,28.10,0.00,20180604,20181113,50600.00,진행중,27449,1
E00028000002,종광대2구역 주택재개발 정비사업 지하안전영향평가 용역,149069.00,32.48,0.00,20180814,20181219,112200.00,진행중,31243,1
E00102000010,서초동 1339-7번지 청화오피스텔 신축공사,130000.00,33.45,0.00,20180531,20190110,91300.00,진행중,1016,1
E00105000004,이천 하이닉스 M16 건설공사 반도체공장 비개착 공동구 지하안전영향평가,80000.00,21.74,1051.40,20181001,20190430,268400.00,진행중,0,1
E00099000002,"고양시 덕양구 도내동 972, 973번지 근린생활시설 및 오피스텔 지하안전영향평가",34000.00,20.70,0.00,20180731,20190117,38500.00,진행중,3304,1
E00099000003,"고양시 덕양구 도내동 974, 975번지 근린생활시설 및 오피스텔 지하안전영향평가",51000.00,20.70,0.00,20180731,20190117,38500.00,진행중,3304,1
E00035000003,대구 달성군 현풍면 중리 오피스텔 신축공사 지하안전영향평가,69600.00,24.30,0.00,20180716,20181122,75900.00,진행중,2339,1
E00086000002,순천향대학교 부속 새병원  지하안전영향평가 용역,375789.00,29.68,0.00,20181101,20190430,80000.00,진행중,45290,1
E00017000004,당진대덕수청지구 상업시설 신축공사,5000.00,24.33,0.00,20180705,20181203,66000.00,진행중,1938,1
E00105000006,이천 비상저류조 신축공사 지하안전영향평가,50000.00,24.10,0.00,20180608,20190831,115582.00,진행중,5459,1
E00017000005,파주시- 명품3차 주상복합빌딩 신축공사,15000.00,13.96,0.00,20180409,20180715,55000.00,진행중,1631,1
E00035000006,서울중앙지사 복합시설 개발사업 지하안전영향평가,131500.00,32.10,0.00,20180504,20180930,92444.00,진행중,3450,1
E00065000002,문현3구역 주택재개발 정비사업,789300.00,20.75,0.00,20180527,20181012,93500.00,진행중,414456,1
E00017000006,서초동 1327-34 복합시설 신축공사 지하안전영향평가,1100.00,29.52,0.00,20180610,20181102,71500.00,진행중,651,1
E00098000002,유성광역복합환승센터 개발사업 부지 내 복합여객터미널 사업,500000.00,39.90,0.00,20180907,20190521,70400.00,진행중,32693,1
E00151000001,도시철도 환기구(감전~주례) 이설공사,1600.00,11.00,0.00,20181217,20190222,41800.00,진행중,176,1
E00065000007,봉래구역 1지구 도시환경정비사업 지하안전영향평가,100000.00,26.20,0.00,20180416,20180712,99000.00,진행중,2826,1
E00065000008,"식사지구 E9-7,8 복합시설 신축공사 지하안전영향평가",27000.00,27.31,0.00,20180312,20180619,87870.00,진행중,1552,1
E00198000005,파주시 와동동 1469-1 신축공사,12000.00,15.95,0.00,20180810,20181231,44000.00,진행중,154930,1
E00154000002,판교 제2테크노밸리 E2-1블록 신축공사 지하안전영향평가(보완),90000.00,35.11,0.00,20190128,20190227,94600.00,진행중,4504,1
E00223000001,신림동 역세권2030청년주택 신축공사 중 지반조사 및 지하안전영향평가,95400.00,27.01,0.00,20181005,20191231,159500.00,진행중,2237,1
E00164000001,정자동 4-5번지 연구시설 신축공사,400000.00,37.50,0.00,20181221,20190222,99000.00,진행중,23866,1
E00062000002,평택 고덕국제화계획지구 VIEW FIVE 신축공사 지하안전영향평가 용역,65000.00,24.90,0.00,20180509,20180910,95700.00,진행중,1700,1
E00221000001,"1, 2호선 역사시설개량공사 지하안전영향평가",7700.00,13.28,29.00,20180831,20190318,149337.00,진행중,185,1
E00003000004,"345kV 신성남~동서울T/L 판교대장지구 지중화공사 지질조사, 지하안전영향평가 용역",26979600000.00,51.00,881.00,20190304,20190318,191400.00,진행중,0,1
E00200000003,울산 우정동 주택재개발정비사업 지반조사 및 지하안전영향평가용역,105278.00,22.56,0.00,20180831,20190331,129800.00,진행중,4702,1
E00144000004,성남글로벌 ICT융합 플래닛 건립 지하안전영향평가,91244.00,21.66,0.00,20180822,20190401,65630.00,진행중,5837,1
E00228000001,판교 DHNP 산학연센터 신축공사,25000.00,2296.00,0.00,20190401,20190510,85800.00,진행중,1211,1
