evalNo,evalNm,maxDigDepth,proStage,no
E10000000003,북오송 S/S 배전인출 전력구공사 사후 지하안전영향조사 ,21.75,진행중,1
E00084000003,"청주지역 전기공급시설 관로공사(1-1차, 목련로구간)",22.00,작성중,2
E00226000010,"동구 신천동 327-3,4 근린생활시설 및 오피스텔 신축공사",28.35,진행중,3
E00038000079,평택 고덕지구 11-1-1BL 복합시설 신축공사 사후지하안전영향조사,25.90,진행중,4
E00038000080,광진구 화양동 111-85번지 일원 오피스텔 신축공사 사후지하안전영향조사,27.40,작성중,5
E00216000001,내부순환(만덕-센텀)도시고속화도로 민간투자사업 사후지하안전영향조사,22.90,진행중,6
E00248000001,중랑구 묵동 역세권 청년주택 신축공사,25.50,승인완료,7
E00002000025,구로동 103-9 복합빌딩 사후지하안전영향조사,28.00,진행중,8
E00093000010,성남글로벌 ICT융합 플래닛 건립공사 사후지하안전영향조사 용역,21.66,진행중,9
E00035000028,대구 달성군 현풍면 중리 오피스텔 신축공사 사후지하안전영향조사 용역,24.30,진행중,10
E00038000082,수도권광역급행철도A노선 민간투자사업 사후지하안전영향조사,0.00,진행중,11
E00032000002,울산미포국가산단(석유화학단지) 완충저류시설 설치사업 사후지하안전영향조사 용역,27.37,진행중,12
E00032000003,온산 덕신 근린공원 진입도로 개설공사 사후지하안전영향조사 용역,10.66,진행중,13
E00219000001,2019년 파주지사 열수송관공사 사후지하안전영향조사,9.80,진행중,14
E00190000024,대구광역시 중구 삼덕동2가 빌리브 프리미어 주상복합 신축공사,20.85,진행중,15
E00200000027,영종도 하늘도시 B10-1-1BL 오피스텔 사후지하안전영향조사 용역,24.56,작성중,16
E00078000002,사후지하안전영향조사 용역(동서울~미금T/L 등 2개 전력구) ,56.72,진행중,17
E00169000004,수원 팔달구 인계동 1125-1번지 일대 업무복합시설 신축공사,34.35,진행중,18
E00063000031,고양 향동지구 상업3-2블럭 복합시설 신축공사 사후지하안전영향조사용역,24.02,진행중,19
E00063000032,"고양 향동지구 상업4-1,2블럭 복합시설 신축공사 사후지하안전영향조사용역",2593.00,진행중,20
E00063000033,고양 향동지구 상업6-1블럭 복합시설 신축공사 사후지하안전영향조사용역,26.19,진행중,21
E00114000019,서울특별시 양천구 신정동 922-1외 제이클래스 목동 주상복합 신축사업 사후 지하안전영향조사 승계계약서,24.00,작성중,22
E00044000017,장충동 교육연구시설 신축공사 사후지하안전영향조사,38.21,진행중,23
E00105000018,이천 하이닉스 M16 비개착공동구 설치공사 사후지하안전영향조사,21.74,진행중,24
E00010000026,서울중앙지사 복합시설 개발사업 사후지하안전영향조사,26.62,작성중,25
E10082000002,천안지역 전기공급시설 전력구공사 사후지하안전영향조사용역,14.32,진행중,26
E00102000076,서초동 1339-7번지 청화오피스텔 신축공사,33.45,진행중,27
E00044000020,마곡 크리스탈지노믹스 R&D센터 신축공사에 따른 사후지하안전영향조사 용역,28.68,진행중,28
E00044000023,여의도동 27-2 업무시설(서울회관 재건축) 사후지하안전영향조사,33.00,진행중,29
E00097000008,범어동 oo 주상복합 신축공사 사후지하안전영향조사 용역,24.00,진행중,30
E00099000020,Ex-Smart Center 신축공사 사후지하안전영향조사,24.80,진행중,31
E00052000012,2020년 화성지사 열수송관공사 사후지하안전영향조사,8.45,진행중,32
E00200000033,위례신도시 일상5 1-2블럭 오피스텔 사후지하안전영향평가용역,24.70,진행중,33
E00114000021,파주 운정지구 F5-2블럭 2-4 오피스텔 신축공사 중 사후지하안전영향조사서,28.15,진행중,34
E00039000009,서울시 금천구 가산동 554-2번지 지식산업센터 신축공사 사후지하안전영향조사,24.56,진행중,35
E10044000013,"안산시 성포동 593-4,5번지 사랑의 병원 증축공사",23.36,진행중,36
E00030000013,수원시 서둔동 자동차매매장 신축공사,23.66,진행중,37
E00102000085,용인 현성 더테라스 신축공사 사후지하안전영향조사,27.46,진행중,38
E10068000002,양산~사송연계 2단계 및 사송지구 내 열수송관공사 사후지하안전영향조사,7.60,진행중,39
E00017000038,당진대덕수청지구 상업시설 신축공사,24.33,진행중,40
E00203000047,고덕 국제화계획지구 업무시설용지 12-2-1BL 판매시설 및 근린생활시설 신축공사,22.28,진행중,41
E00102000090,동국제약 청담동 사옥 신축공사,21.09,진행중,42
E00130000009,도봉산~옥정 광역철도 건설공사 사후지하안전영향조사,52.02,진행중,43
E00226000015,뉴 센트럴 두산 위브 더제니스 아파트,20.70,진행중,44
E00004000014,"전주에코시티1,2블럭 주상복합 신축공사 사후지하안전영향조사 용역",26.06,진행중,45
E00038000087,장교구역 12지구 도시환경정비사업 사후지하안전영향조사서,27.40,진행중,46
E00038000088,2019년 중앙지사 열수송관공사 사후지하안전영향조사,10.60,진행중,47
E10044000016,수원시 광교지구 IM CENTER 신축공사,26.30,진행중,48
E10086000005,강남구 논현동 6-1 업무시설 신축공사 사후지하안전영향조사서,22.59,진행중,49
