지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간풍속 시각(hhmi),평균 풍속(m/s),최대 순간 풍속 풍향(deg)
400,2020-01-01,-1.7,-5.1,1.0,1.0,1557.0,0.0,3.4,103.0,0.9,123.8
400,2020-01-02,2.3,-0.2,329.0,5.1,1524.0,0.0,5.7,1646.0,1.0,286.9
400,2020-01-03,0.9,-2.7,740.0,6.0,1546.0,0.0,6.0,1114.0,1.1,261.6
400,2020-01-04,2.1,-3.6,311.0,8.3,1534.0,0.0,6.3,1331.0,1.1,272.8
400,2020-01-05,1.1,-4.2,737.0,7.3,1452.0,0.0,2.7,1416.0,0.5,348.8
400,2020-01-06,3.3,-0.5,247.0,5.8,1155.0,1.0,3.6,1230.0,0.8,14.1
400,2020-01-07,6.2,4.2,1.0,8.1,2343.0,53.5,3.6,650.0,0.7,42.2
400,2020-01-08,3.7,0.8,2309.0,10.4,43.0,5.0,10.6,115.0,2.5,261.6
400,2020-01-09,0.4,-2.2,0.0,3.7,1404.0,0.0,6.2,3.0,1.6,275.6
400,2020-01-10,0.8,-3.2,323.0,5.6,1411.0,0.0,4.7,1548.0,0.9,323.4
400,2020-01-11,0.9,-3.1,730.0,5.5,1456.0,0.0,6.1,1332.0,1.1,331.9
400,2020-01-12,0.4,-1.9,624.0,4.3,1439.0,0.0,6.0,2141.0,1.6,267.2
400,2020-01-13,-1.2,-3.5,612.0,2.3,1504.0,0.0,7.5,926.0,1.8,334.7
400,2020-01-14,-1.0,-5.3,439.0,4.3,1423.0,0.0,4.9,1608.0,1.1,261.6
400,2020-01-15,-1.2,-5.4,658.0,3.7,1403.0,0.0,5.5,1531.0,1.2,258.8
400,2020-01-16,-0.5,-4.8,407.0,5.2,1344.0,0.0,4.9,1629.0,1.0,264.4
400,2020-01-17,,,,,,0.0,,,,
400,2020-01-18,0.7,-3.8,701.0,7.4,1430.0,0.0,5.2,1535.0,1.0,261.6
400,2020-01-19,2.7,-1.5,3.0,6.6,1206.0,0.5,10.4,1257.0,1.4,264.4
400,2020-01-20,2.2,-1.8,2354.0,7.3,1335.0,0.0,9.5,1934.0,2.0,337.5
400,2020-01-21,0.6,-4.4,745.0,6.2,1433.0,0.0,3.9,120.0,0.9,253.1
400,2020-01-22,3.1,0.5,1.0,7.5,1522.0,0.0,3.8,1516.0,0.8,216.6
400,2020-01-23,5.1,-1.3,714.0,11.5,1427.0,0.0,5.6,1647.0,1.1,292.5
400,2020-01-24,3.5,-1.1,733.0,10.0,1427.0,0.0,3.9,1522.0,0.8,326.3
400,2020-01-25,4.7,-0.4,207.0,10.1,1420.0,0.0,3.2,1740.0,0.6,295.3
400,2020-01-26,5.9,-1.1,735.0,13.0,1444.0,0.0,7.1,1950.0,1.1,112.5
400,2020-01-27,6.5,4.5,2340.0,8.7,1519.0,0.5,7.8,640.0,1.7,87.2
400,2020-01-28,7.5,3.7,2359.0,11.1,1328.0,0.0,5.3,1225.0,1.1,106.9
400,2020-01-29,6.3,1.6,456.0,11.3,1344.0,0.0,4.4,1917.0,0.8,87.2
400,2020-01-30,5.8,0.5,657.0,11.9,1340.0,0.0,4.3,1957.0,0.9,300.9
400,2020-01-31,4.4,0.5,2356.0,9.3,1402.0,0.0,6.2,1513.0,1.2,317.8
400,2020-02-01,3.2,-1.2,534.0,7.9,1436.0,0.0,5.3,1540.0,1.1,331.9
400,2020-02-02,2.7,-2.3,726.0,6.9,1531.0,0.0,5.3,1929.0,1.1,326.3
400,2020-02-03,1.0,-1.0,0.0,5.1,1454.0,0.0,8.0,1219.0,2.3,244.7
400,2020-02-04,-0.2,-4.9,624.0,5.4,1314.0,0.5,8.5,2350.0,1.8,348.8
400,2020-02-05,-6.7,-9.2,734.0,-2.9,1547.0,0.0,9.1,104.0,2.4,317.8
400,2020-02-06,-4.8,-10.4,715.0,1.3,1526.0,0.0,5.0,23.0,1.3,317.8
400,2020-02-07,-0.1,-5.8,126.0,4.1,1516.0,0.0,5.5,1527.0,1.3,320.6
400,2020-02-08,1.2,-1.1,740.0,5.1,1523.0,0.0,8.4,1450.0,2.2,261.6
400,2020-02-09,0.3,-5.3,712.0,5.5,1419.0,0.0,6.0,1440.0,1.2,315.0
400,2020-02-10,4.1,-2.0,717.0,10.8,1448.0,0.0,5.2,1611.0,1.0,300.9
400,2020-02-11,6.6,-1.6,638.0,16.3,1507.0,0.0,4.1,1510.0,0.8,0.0
400,2020-02-12,7.5,6.0,1303.0,8.4,2334.0,7.5,3.6,1253.0,0.6,11.3
400,2020-02-13,7.4,4.7,2326.0,10.9,1318.0,0.0,5.2,1150.0,1.3,270.0
400,2020-02-14,7.8,3.2,652.0,15.3,1541.0,0.0,3.9,957.0,0.6,39.4
400,2020-02-15,9.6,3.5,558.0,16.8,1236.0,2.0,5.7,1240.0,1.1,84.4
400,2020-02-16,-0.2,-3.1,2127.0,8.1,1.0,14.0,9.1,1428.0,2.6,250.3
400,2020-02-17,-4.8,-6.0,2006.0,-2.3,201.0,0.5,8.2,1652.0,2.4,320.6
400,2020-02-18,-2.4,-6.5,650.0,2.9,1524.0,0.0,7.5,210.0,1.8,331.9
400,2020-02-19,1.5,-3.6,548.0,7.6,1433.0,0.0,5.0,1453.0,0.8,317.8
400,2020-02-20,5.2,-0.7,656.0,12.4,1447.0,0.0,4.1,1500.0,0.8,292.5
400,2020-02-21,7.4,1.8,406.0,13.0,1410.0,3.0,7.2,2048.0,1.1,210.9
400,2020-02-22,5.3,1.4,2330.0,9.4,1316.0,2.5,12.4,1437.0,3.1,261.6
400,2020-02-23,3.8,-1.3,727.0,9.1,1412.0,0.0,7.4,1348.0,1.6,326.3
400,2020-02-24,7.5,0.6,1.0,13.2,1614.0,0.0,4.3,216.0,0.9,168.8
400,2020-02-25,6.8,5.6,834.0,9.9,1551.0,20.5,6.3,1950.0,1.2,11.3
400,2020-02-26,7.8,3.8,349.0,13.0,1443.0,0.0,6.6,1316.0,1.3,348.8
400,2020-02-27,7.3,2.3,519.0,12.6,1610.0,0.0,4.6,1155.0,1.1,47.8
400,2020-02-28,5.1,3.3,108.0,6.7,1007.0,4.0,4.1,1028.0,0.8,191.3
400,2020-02-29,8.2,4.7,1.0,14.1,1516.0,0.0,4.1,1828.0,0.9,323.4
400,2020-03-01,6.6,2.5,535.0,11.8,1202.0,0.0,5.9,2305.0,1.3,315.0
400,2020-03-02,4.5,1.6,642.0,8.8,1513.0,0.0,7.3,538.0,1.9,267.2
400,2020-03-03,6.0,0.3,649.0,12.1,1429.0,0.0,7.2,1332.0,1.5,272.8
400,2020-03-04,3.4,0.3,2359.0,6.7,1118.0,0.0,10.3,1845.0,2.7,309.4
400,2020-03-05,2.5,-1.5,623.0,8.0,1519.0,0.0,7.1,217.0,1.9,241.9
400,2020-03-06,4.2,-2.4,627.0,11.5,1604.0,0.0,4.5,1315.0,0.9,326.3
400,2020-03-07,7.4,1.2,510.0,14.5,1514.0,0.0,4.7,1258.0,1.0,75.9
400,2020-03-08,9.2,0.9,647.0,18.5,1508.0,0.0,5.9,1927.0,0.8,284.1
400,2020-03-09,11.3,3.0,636.0,17.8,1417.0,0.0,5.1,1853.0,0.9,272.8
400,2020-03-10,7.6,4.7,2337.0,12.2,1.0,11.5,7.3,2121.0,1.6,306.6
400,2020-03-11,4.7,1.4,513.0,9.2,1415.0,0.0,8.5,1102.0,2.4,286.9
400,2020-03-12,7.7,1.1,137.0,14.5,1436.0,0.0,8.3,1421.0,1.6,188.4
400,2020-03-13,6.3,1.5,2353.0,10.4,1337.0,0.0,7.6,1743.0,2.3,247.5
400,2020-03-14,5.2,-0.8,639.0,10.5,1457.0,0.0,8.5,1548.0,2.2,289.7
400,2020-03-15,5.3,1.9,2342.0,10.6,1326.0,0.0,12.5,1354.0,2.6,258.8
400,2020-03-16,4.6,-0.5,436.0,10.5,1403.0,0.0,7.6,1649.0,1.7,255.9
