sagoNo,sido,sigungu,dong,addr,sagoLat,sagoLon,sagoDate,sinkWidth,sinkExtend,sinkDepth,grdKind,sagoDetail,deathCnt,injuryCnt,vehicleCnt,trStatus,trMethod,trAmt,trFnDate,daStDate,no
20180001,서울특별시,강남구,삼성동,서울특별시 강남구 삼성동 147-2앞 (봉은사로 86길),,,20180301,3.00,4.00,1.50,,"열수송관(D600mm) 노후 손상으로 함몰 발생
(굴착복구 미흡분야로 관리)",0,0,0,복구완료,한국지역난방공사에서 복구완료,0,20180306,00010101,1
20180002,서울특별시,송파구,삼전동,서울특별시 송파구 삼전동 180-6 (백제고분로 272),,,20180304,1.00,2.00,0.50,,상수관(？300mm)에서 분기된 소화전 연결관(？100mm) 동파로 누수되어 함몰발생,0,0,0,복구완료,강동수도사업소에서 복구완료,0,20180305,00010101,1
20180003,서울특별시,구로구,구로동,서울특별시 구로구 구로동 723-16 (구로동로17길),,,20180311,0.40,0.40,1.00,,"KT 통신맨홀 슬라브 파손
(굴착복구 미흡분야로 관리)",0,0,0,복구완료,KT구로지사에서 복구완료,0,20180312,00010101,1
20180004,서울특별시,영등포구,당산동4가,서울특별시 영등포구 당산동4가 93-5 (국회대로 539),,,20180313,0.50,0.70,1.50,,하수관로(D450㎜) 노후？파손으로 토사유실,0,0,1,복구완료,영등포구 치수과에서 복구완료,0,20180318,00010101,1
20180005,서울특별시,영등포구,양평동4가,서울특별시 영등포구 양평동4가 23-2 (양평로19길 19),,,20180327,5.00,5.00,1.50,,인근 공사차량(레미콘차) 중량에 의한 노후 하수박스 상판파손(하수박스 1946년 부설),0,0,1,복구완료,영등포구 치수과에서 복구완료,0,20180507,00010101,1
20180006,서울특별시,영등포구,여의도동,서울특별시 영등포구 여의도동 44-11 (의사당대로1길 34),,,20180328,0.30,0.30,1.00,,폐쇄된 빗물받이 연결관을 폐관처리 하지 않아 토사가 유실,0,0,0,복구완료,영등포구 치수과에서 복구완료,0,20180328,00010101,1
20180007,서울특별시,도봉구,창동,서울특별시 도봉구 창동 316 (해등로12길),,,20180425,0.80,0.60,1.30,,우수관로(D1000mm) 노후파손으로 인한 토사유입,0,0,0,복구완료,도봉구 물관리과에서 복구완료,0,20180426,00010101,1
20180008,서울특별시,강남구,역삼동,서울특별시 강남구 역삼동 814-6 (강남대로100길10),,,20180426,0.50,1.00,1.00,,공공하수관 노후 손상되어 토사 유실,0,0,0,복구완료,강남구 치수과에서 복구완료,0,20180525,00010101,1
20180009,서울특별시,용산구,용산동5가,서울특별시 용산구 용산동5가 19-389 (파크타워 104동앞),,,20180428,0.50,0.50,1.00,,하수관 연결부 이격으로 인한 토사유입,0,0,1,복구완료,용산구 치수과에서 복구완료,0,20180429,00010101,1
20180010,서울특별시,구로구,구로동,서울특별시 구로구 구로동 126-28 (도림로 럭키아파트 인근),,,20180624,0.20,0.20,1.00,,"지하철 7호선 공사시 설치한 가시설(H-beam)인접 다짐불량, 토류판 부식 등 장기침하로 인한 함몰",0,0,0,복구완료,구로구 도로과에서 복구완료,0,20180624,00010101,1
20180011,서울특별시,관악구,보라매동,서울특별시 관악구 보라매동 732-1 7(보라매로 21),,,20180717,2.00,0.60,1.00,,폐쇄되지 않은 폐 빗물받이연결관으로 토사 유실,0,0,0,복구완료,관악구 치수과에서 복구완료,0,20180717,00010101,1
20180012,서울특별시,중구,,서울특별시 중구 퇴계로 196 (충무로역 3번출구),,,20180717,5.00,5.00,1.50,,"상수도 이설구간 접합부(700mm에서 300mm로 분기)에서  외부 진동, 압력 등에 의한 파열로 누수 발생",0,0,0,복구완료,중부수도사업소에서 복구완료,0,20180717,00010101,1
20180013,서울특별시,강남구,논현동,서울특별시 강남구 논현동 280(강남대로 논현역 7번출구 앞),,,20180815,1.50,3.00,1.00,,굴착복구 다짐 미흡으로 인한 장기침하,0,0,0,복구완료,남부도로사업소 도로보수과에서 복구완료,0,20180815,00010101,1
20180014,서울특별시,종로구,연건동,서울특별시 종로구 연건동 28-2(대학로 103),,,20180904,1.10,1.00,1.00,,상수도관 및 통신관 매설 시 하수관로 파손 추정,0,0,0,복구완료,종로구 안전치수과에서 복구완료,0,20180905,00010101,1
20180015,서울특별시,강북구,수유동,서울특별시 강북구 수유동 313-49(삼양로 119길 1),,,20180904,1.50,1.50,1.00,,"주변 사각형거의 바닥 세굴 및 파손, 벽체 및 슬래브 노후화 심화",0,0,0,복구완료,강북구 안전치수과에서 복구완료,0,20180905,00010101,1
20180016,서울특별시,동작구,노량진동,서울특별시 동작구 노량진동 50-2앞 (노량진초교 앞),,,20181202,0.70,0.70,1.00,,하수관과 맨홀 접속부 이음 불량으로 인한 도로침하,0,0,1,복구완료,동작구 안전치수과에서 복구완료,0,20181202,00010101,1
20180017,서울특별시,강서구,마곡동,서울특별시 강서구 마곡동 793-7 (마곡지구 C17-2블록 공사장 앞 보도),,,20181209,1.50,3.00,3.00,,건축공사장 인입 상수도 맨홀 하중 등으로 하수관 처짐발생->하수가 공사장 내부로 토립자와 함께 유출되어 지반(보도)침하 발생,0,0,0,복구완료,원인자(웰크론한텍㈜)복구완료,0,20181219,00010101,1
20180018,전북특별자치도,정읍시,이평면 창동리,전북특별자치도 정읍시 이평면 창동리 산11-5번지 근처,,,20180102,1.50,1.80,1.50,기타,농배수로관 노후로 인하여 지반 침하,0,0,0,복구완료,농배수로관 재설치 및 지반다짐 완료,0,20180312,20191120,1
20180019,광주광역시,광산구,도산동,광주광역시 광산구 도산동 1221-20번지,,,20180103,0.30,0.20,1.50,, 하수암거박스 파손에 의한 동공발생 및 지반침하,0,0,0,복구완료,보수완료,0,20180104,20191115,1
20180020,경상남도,사천시,사천읍,경상남도 사천시 사천읍 선인길 30-21,,,20180112,1.00,2.00,0.10,기타,오수맨홀 주변 토사 유실,0,0,0,복구완료,되메우기 및 오수맨홀 주변 복구,0,20180112,20191115,1
20180021,충청북도,청주시 흥덕구,운천동,충청북도 청주시 흥덕구 운천동 660,,,20180116,0.80,0.80,0.50,, 하수관 파손에 의한 동공발생 및 지반침하,0,0,0,복구완료,하수관 보수완료,0,20180117,20191115,1
20180022,광주광역시,광산구,우산동,광주광역시 광산구 우산동 1600-1번지,,,20180122,0.10,0.10,1.00,, 하수관로 파손에 의한 동공발생 및 지반침하,0,0,0,복구완료,보수완료,0,20180125,20191115,1
20180023,광주광역시,광산구,소촌동,광주광역시 광산구 소촌동 450-3번지,,,20180122,0.30,0.30,1.50,, 하수암거박스 파손에 의한 동공발생 및 지반침하,0,0,0,복구완료,보수완료,0,20180125,20191115,1
